location,address,area,city,longitude,latitude
south kafrul,"south kafrul panir pump, south kafrul, kafrul, dhaka",kafrul,dhaka,90.38510218262672,23.78312448456712
mohakhali,"mohakhali dohs lake, mohakhali dohs, mohakhali, dhaka",mohakhali,dhaka,90.39445463785415,23.784533554730917
gopibag,"gopibagh, gopibagh, dhaka",gopibagh,dhaka,90.42620827,23.72148341
south kafrul,"south kafrul panir pump, south kafrul, kafrul, dhaka",kafrul,dhaka,90.38510218262672,23.78312448456712
mohakhali,"mohakhali dohs lake, mohakhali dohs, mohakhali, dhaka",mohakhali,dhaka,90.39445463785415,23.784533554730917
gopibag,"gopibagh, gopibagh, dhaka",gopibagh,dhaka,90.42620827,23.72148341
bashundhara r/a,"house  554,555, road  23, block l, bashundhara r/a, dhaka",bashundhara r/a,dhaka,90.44770081292164,23.82153768610095
agargaon,"agargaon sub post office, agargaon administrative area, agargaon, dhaka",agargaon,dhaka,90.3773172212,23.778322392
gulshan,"gulshan 1, gulshan 1, gulshan, dhaka",gulshan,dhaka,90.41687965393066,23.78023957482681
panthapath,"panthapath, panthapath, dhaka",panthapath,dhaka,90.38700198,23.75117801
malibagh,"malibagh college road ( malibagh bazar road ), malibagh, dhaka",malibagh,dhaka,90.41424856,23.74770643
uttara,"uttara university, uttara, dhaka",uttara,dhaka,90.4024928,23.869681600000003
dhanmondi,"dhanmondi lake road, dhanmondi, dhaka",dhanmondi,dhaka,90.3755736,23.742744
pallabi,"doctor sharif chamber, house  g/15, extension pallabi, pallabi, dhaka",pallabi,dhaka,90.35763308520394,23.82276451446235
west dhanmondi,"west dhanmondi, west dhanmondi, dhanmondi, dhaka",dhanmondi,dhaka,90.366539955139,23.750732031005
sector 13,"sector 13, sector 13, uttara, dhaka",uttara,dhaka,90.387525558472,23.871017279476
banani dohs,"banani dohs field, road  3, banani dohs, banani, dhaka",banani,dhaka,90.39849033225404,23.792809774983468
banani,"banani dohs field, road  3, banani dohs, banani, dhaka",banani,dhaka,90.39849033225404,23.792809774983468
khilgaon,"khilgaon south society, khilgaon south society, khilgaon, dhaka",khilgaon,dhaka,90.421761274338,23.74941639251
basundhara r/a,"le reve rupayan - basundhara r/a, house  c/2, umme kulsum road, block g, bashundhara, dhaka",bashundhara,dhaka,90.4297097,23.8241828
fakirapool,"fakirapool, fakirapool, dhaka",fakirapool,dhaka,90.41679647,23.73319121
niketon,"tasty treat cafe, niketon, house  53/55, road 3, block b, niketon, dhaka",niketon,dhaka,90.4120574187068,23.774246121558647
bangladesh,"bangladesh betar canteen, bangladesh betar, sayed mahbub morshed road, agargaon, dhaka",agargaon,dhaka,90.37298362702133,23.77596133496198
section 12,"section 12, section 12, mirpur, dhaka",mirpur,dhaka,90.371732711792,23.825760683553
bashjunmdhara r/a,"house  554,555, road  23, block l, bashundhara r/a, dhaka",bashundhara r/a,dhaka,90.44770081292164,23.82153768610095
kalabagan,"kalabagan, kalabagan, dhaka",kalabagan,dhaka,90.38513977,23.74789446
mohammadpur,"mohammadpur police fari, mohammadpur, dhaka",mohammadpur,dhaka,90.360892880385,23.75766176221737
chawkbazar,"chawkbazar police station (chawkbazar thana), urdu road, chawkbazar, dhaka",chawkbazar,dhaka,90.395644,23.717196
kuril,"kuril government primary school, kuril school road, kuril, dhaka",kuril,dhaka,90.4232695462248,23.815096291612623
catering service tehari ghar(sobhanbag),"sobhanbag tehari ghar, house  1/a, road  4, probal housing, shekhertek, mohammadpur, dhaka",mohammadpur,dhaka,90.3578717322589,23.766950819302995
sector 13 uttara,"mahalo, sector 13, uttara, dhaka",uttara,dhaka,90.3902,23.87392
ahsania mission cancer and general hospital,"ahsania mission cancer and general hospital, shah kabir majar road, uttarkhan, dhaka",uttarkhan,dhaka,90.42193,23.86981
