Unnamed: 0,Pickup Point,last part,Pickup Area
2,"area71 venture limited headquarters,sector 10,uttara",UTTARA,Uttara
16,"dr nadia ferdous,residential area,dhanmondi",DHANMONDI,Dhanmondi
17,"le chateua,gulshan 2,gulshan",GULSHAN,Gulshan
21,"basundhara masjid,r4 ,rd 3,block d,basundhara r/a",BASUNDHARA R/A,Bashundhara
23,"popular place,shekhertek,mohammadpur",MOHAMMADPUR,Mohammadpur
24,"airport road,new airport road,kurmitola,sector 2",SECTOR 2,Purbachal
33,"brothers furniture ltd,sector 4,uttara",UTTARA,Uttara
34,"luxor,zafrabad,mohammadpur",MOHAMMADPUR,Mohammadpur
39,"rd 19,sector 11,uttara",UTTARA,Uttara
40,"vivek majesta,gulshan 2,gulshan",GULSHAN,Gulshan
43,"airport road , new airport road , kurmitola , sector 2",SECTOR 2,Purbachal
56,"fresco, h 36,north rd,dhanmondi",DHANMONDI,Dhanmondi
57,"gateway overseas education solution , road o3, block b, niketon",NIKETON,Niketon
58,"xinxian resturant,sector 1,uttara",UTTARA,Uttara
59,"h  5, rd 20, nikunja 2",NIKUNJA 2,Nikunja
60,"banani bridge,gulshan 2,gulshan",GULSHAN,Gulshan
61,"datacrift limited , residential area , dhanmondi",DHANMONDI,Dhanmondi
63,"playpen, h 271, rd 14, block c, basundhara r/a",BASUNDHARA R/A,Bashundhara
66,"52/3, road 2/1, section 12",SECTION 12,Mirpur
67,"schoolar's school and college , h 63, 71, rd  7/a, dhanmondi",DHANMONDI,Dhanmondi
68,"ibn sina diagnostic & consultation centre, gareeb e nawaz avenue , sector 13, uttara",UTTARA,Uttara
69,"herfy,block i,bashundhara r/a",BASHUNDHARA R/A,Bashundhara R/A
71,"plot 330,rd 14,block a,basundhara r/a",BASUNDHARA R/A,Bashundhara
72,"sorok 12,basundhara r/a",BASUNDHARA R/A,Bashundhara
73,"nr tours & travels,sector 4,uttara",UTTARA,Uttara
74,"metro properties limited,road 36,gulshan 2,gulshan",GULSHAN,Gulshan
76,"gulev jannat arifabad mahila madrasa, i/10 , arifabad housing road , extended pallabi , mirpur",MIRPUR,Mirpur
79,"heaven salon , 77, road 17a , banani",BANANI,Banani
82,"unique diagnostic center , green road, dhanmondi",DHANMONDI,Dhanmondi
83,"realiance building, h 146, rd 8, block d, bashundhara r/a",BASHUNDHARA R/A,Bashundhara R/A
84,"73/h/1, shahid buddijibi munir chowdhury road, dhanmondi",DHANMONDI,Dhanmondi
87,"h 662, rd 20, block f, bashundhara r/a",BASHUNDHARA R/A,Bashundhara R/A
88,"mukta pharmacy,commerce college road,section 2",SECTION 2,Mirpur
91,"khushbu,111,road 4,block c,basundhara r/a",BASUNDHARA R/A,Bashundhara
92,"apurupa hair style,r k mission rd,gopibag",GOPIBAG,Gopibagh
95,"h 8 , rd 30, dhanmondi",DHANMONDI,Dhanmondi
98,"h 93/1 , rd 8, niketon",NIKETON,Niketon
100,"nasim enterprise,sector 12,uttara",UTTARA,Uttara
112,"tahmina manzil,209/1,195 shantibag road,shantibagh,malibagh",MALIBAGH,Malibagh
114,"universal music & time books doctor goli,malibagh",MALIBAGH,Malibagh
115,"ntrenz,mirpur,dohs rd,pallabi",PALLABI,Pallabi
116,"kavazo,road 11,block h,banani",BANANI,Banani
120,"nasim enterprise, sector 12, uttara",UTTARA,Uttara
122,"nawab habibullah model school & college,shahjalal ave,sector 4,uttara",UTTARA,Uttara
130,"mutual trust bank, airport  road, new airport road, kurmitola, sector 2",SECTOR 2,Purbachal
131,"h 16 , gopibag 3rd ln , gopibag",GOPIBAG,Gopibagh
134,"h 10/13, tajmahal rd , mohammadpur",MOHAMMADPUR,Mohammadpur
138,"aurelia, 8/q, road no. 2 , block d, basundhara r/a",BASUNDHARA R/A,Bashundhara
140,"zaheen knitwears  ltd , road 13c , block  e, banani",BANANI,Banani
141,"molla general store , bochila rd, mohammadpur",MOHAMMADPUR,Mohammadpur
142,"tahmina monjil, 209/1, 195 shantibag road, shantibagh, malibagh",MALIBAGH,Malibagh
146,"salam summershine,residential area,dhanmondi",DHANMONDI,Dhanmondi
156,"h 10 new/13 old,rd 5,dhanmondi",DHANMONDI,Dhanmondi
157,"asha moni store,lalmatia,mohammadpur",MOHAMMADPUR,Mohammadpur
159,"universal music & time books , doctor goli, malibagh",MALIBAGH,Malibagh
163,"h 22, rd 3, nikunja 2",NIKUNJA 2,Nikunja
164,"kavazo , road 11, block h, banani",BANANI,Banani
165,"lankan alliance finance limited,gulshan 1,gulshan",GULSHAN,Gulshan
166,"nawab habibullah model school & college , shahjalal ave, sector 4 , uttara",UTTARA,Uttara
168,"school of intelligence,road 10/a,sector 11,uttara",UTTARA,Uttara
171,"germania holdings ltd,gulshan 2,gulshan",GULSHAN,Gulshan
173,"mastermind abacus,road 07,sector 13,uttara",UTTARA,Uttara
174,"labaid cardiac centre , green road, dhanmondi",DHANMONDI,Dhanmondi
175,"salam summershine , residential area, dhanmondi",DHANMONDI,Dhanmondi
178,"whiteshell it shop ,niharika concord tower, kamal ataturk avenue , block c, banani",BANANI,Banani
180,"h 10 new/13 old, rd 5, dhanmondi",DHANMONDI,Dhanmondi
181,"unitrend limited,banani dohs",BANANI DOHS,Banani
183,"asha moni store, lalmatia , mohammadpur",MOHAMMADPUR,Mohammadpur
187,"durum-turkish doner(banani),road 11,block d,banani",BANANI,Banani
188,"magnum management consulting,road 12,niketon,gulshan 1",GULSHAN 1,Gulshan
196,"shameem refrigeration works ltd,gulshan 1,gulshan",GULSHAN,Gulshan
202,"mohammadia r/a main rd , prominent housing , mohammadpur",MOHAMMADPUR,Mohammadpur
203,"house 14,road 6,sector 10,uttara",UTTARA,Uttara
205,"ferns wood , 41 , raja bazar indira road , dhanmondi",DHANMONDI,Dhanmondi
207,"house 430, road 17 , block a, bashundhara r/a",BASHUNDHARA R/A,Bashundhara R/A
208,"galaxy medicine cornee,1/1,section 2",SECTION 2,Mirpur
210,"shohag tea store ,  sector 8 , uttara",UTTARA,Uttara
211,"beirut 99,235,road 13e,banani",BANANI,Banani
213,"ck maritime ltd , plot 836 , road 12 , avenew 3 , mirpur dohs",MIRPUR DOHS,Mirpur
219,"vai vai cycle & hardware , rd 8 , shekhertek , mohammadpur",MOHAMMADPUR,Mohammadpur
222,"mna barristers & advocates , suite 3b, h 7, rd 33, gulshan 1",GULSHAN 1,Gulshan
224,"house 37, road  5, sector  10 , uttara",UTTARA,Uttara
227,"green view , 385/4/a/b , free school street ,dhanmondi",DHANMONDI,Dhanmondi
228,"rangs malancha , west , dhanmondi",DHANMONDI,Dhanmondi
232,"h 620, rd 19, block f, bashundhara r/a",BASHUNDHARA R/A,Bashundhara R/A
235,"new janani engineering workshop , nabi nagar housing , mohammadpur",MOHAMMADPUR,Mohammadpur
237,"airport road , new airport road, kurmitola n, sector 2",SECTOR 2,Purbachal
238,"sohrawardy avenue,baridhara,gulshan",GULSHAN,Gulshan
240,"27/26,block d,sher shah suri road,mohammadpur",MOHAMMADPUR,Mohammadpur
241,"popular medical college outdoor , residential area , dhanmondi",DHANMONDI,Dhanmondi
242,"jamiya derachatul madrasa,h54,central rd,dhanmondi",DHANMONDI,Dhanmondi
246,"h d 6, outer circular rd , agb colony , motijheel",MOTIJHEEL,Motijheel
248,"airport masjid , new airport rd",NEW AIRPORT RD,Biman Bandar
251,"kawla bus stop , new airport rd",NEW AIRPORT RD,Biman Bandar
257,"nilima ladies tailors , h 34, rd 4, dhanmondi",DHANMONDI,Dhanmondi
259,"h 26/11,tajmahal rd,mohammadpur",MOHAMMADPUR,Mohammadpur
260,"sabbir tea store , bosila , mohammadpur",MOHAMMADPUR,Mohammadpur
261,"rony telecom,mosque road2,korail,mohakhali",MOHAKHALI,Mohakhali
263,"ific bank limited ( rayer bazar sub-branch ), rayer bazar ,mohammadpur",MOHAMMADPUR,Mohammadpur
264,"hsbc bank atm,west dhanmondi",WEST DHANMONDI,Dhanmondi
267,"h 480, shahid baki sarak, taltola, khilgaon",KHILGAON,Khilgaon
268,"ferdausi fashion , sector 9, uttara",UTTARA,Uttara
269,"apollo hospital basement masjid,h 81,sts ave,block e,bashundhara r/a",BASHUNDHARA R/A,Bashundhara R/A
270,"h 49, rd 12, nikunja 2",NIKUNJA 2,Nikunja
271,"house 66,road 2,block a,niketan,gulshan",GULSHAN,Gulshan
275,"dewan co,109,dit road,malibagh rail gate,malibagh",MALIBAGH,Malibagh
276,"h 8/a, rd 12, mohammadi housing society , mohammadpur",MOHAMMADPUR,Mohammadpur
277,"block i,basundhara r/a",BASUNDHARA R/A,Bashundhara
279,"shikder bari,eastern housing,golden street,shyamoli,mohammadpur",MOHAMMADPUR,Mohammadpur
280,"fvl ramisa, house 6/a, road 7, mohammadpur housing limited , mohammadpur",MOHAMMADPUR,Mohammadpur
281,"sofia garden 666 & 667,block f road 21,basundhara r/a",BASUNDHARA R/A,Bashundhara
284,"japan garden city ,building 19, flat 701, mohammadpur",MOHAMMADPUR,Mohammadpur
288,"bismillah , 06 , road 1, block d, bashundhara r/a",BASHUNDHARA R/A,Bashundhara R/A
297,"h 22, rd 7, kaderabad housing , mohammadpur",MOHAMMADPUR,Mohammadpur
299,"19, road 120 , banani, gulshan",GULSHAN,Gulshan
300,"mithai malibag community center , chowdhuripara , malibagh",MALIBAGH,Malibagh
301,"p0lic convention hall, old elephant road, wireless, paltan",PALTAN,Paltan
302,"road 96, gulshan 2, gulshan",GULSHAN,Gulshan
304,"reen homes , h 10/7 , iqbal rd , mohammadpur",MOHAMMADPUR,Mohammadpur
305,"anoshua ,h 59, rd 25, banani",BANANI,Banani
308,"160, hatirpool , dhanmondi r/a , paltan",PALTAN,Paltan
310,"young forever , road 06 , banani dohs , banani",BANANI,Banani
311,"dhaka commerce college , commerce college road, section 2",SECTION 2,Mirpur
312,"asia ling apparels (bd) ltd , sector 7, uttara",UTTARA,Uttara
315,"38a , road 103, gulshan 2, gulshan",GULSHAN,Gulshan
316,"abdul ghani lodge , 23/p , road no. 2 , block  d , basundhara r/a",BASUNDHARA R/A,Bashundhara
318,"cpm ( center for physiotherapy and mobility ) , malibagh rail gate , malibagh",MALIBAGH,Malibagh
319,"house 66, road 2, block a, nikten, gulshan",GULSHAN,Gulshan
320,"road 131 , dakkhin badda , gulshan",GULSHAN,Gulshan
321,"shikder bari , eastern housing , golden street, shymoli, mohammadpur",MOHAMMADPUR,Mohammadpur
322,"block i , bashundhara r/a",BASHUNDHARA R/A,Bashundhara R/A
323,"dewan co , 109, dit road, malibagh rail gate , malibagh",MALIBAGH,Malibagh
324,"sabaah pharma , sector 3, uttara",UTTARA,Uttara
325,"nilambar corporation,block f,banani",BANANI,Banani
329,"rd 26, block l , bashundhara r/a",BASHUNDHARA R/A,Bashundhara R/A
331,"yagishita palace , 2 , road 7, section 2",SECTION 2,Mirpur
333,"rd 15, block j , bashundhara r/a",BASHUNDHARA R/A,Bashundhara R/A
334,"south badda road,dakkhin badda,gulshan",GULSHAN,Gulshan
335,"clifford nafi,h 17,rd 5,kaderbad housing,mohammadpur",MOHAMMADPUR,Mohammadpur
336,"mirpur mission , 8, shorok 2 , section 2",SECTION 2,Mirpur
339,"sheikh russel national gastroliver institute & hospital,tb gate road,mohakhali",MOHAKHALI,Mohakhali
341,"zaman tower , h 37. 2, culvert rd, fakirapool",FAKIRAPOOL,Fakirapool
342,"avenue 2 , road 12, h 875, mirpur",MIRPUR,Mirpur
343,"topia sharuba,280,d block 9 no road,block d,basundhara r/a",BASUNDHARA R/A,Bashundhara
344,"sofia garden , 666 & 667 , block f road 21,  bashundhara r/a",BASHUNDHARA R/A,Bashundhara R/A
346,"dr. sinthia consultant - clinical & aesthetic dermatology , gulshan 2, gulshan",GULSHAN,Gulshan
347,"road no. 22, basundhara r/a",BASUNDHARA R/A,Bashundhara
349,"h 37/l, rd 3, block d, bashundhara r/a",BASHUNDHARA R/A,Bashundhara R/A
350,"homeland mahabub palace , house 295/a sayem sobhan anvir road, block c , bashundhara r/a",BASHUNDHARA R/A,Bashundhara R/A
351,"exclusive apartment,384,al haj abdus sobhas road,block b,basundhara r/a",BASUNDHARA R/A,Bashundhara
352,"uttara engineering college,paper mill road,abdullahpur,uttara",UTTARA,Uttara
355,"emon,h 28/a,rd 1,mohammadi housing ltd,mohammadpur",MOHAMMADPUR,Mohammadpur
356,"the majstic , adhunik hospital road, section 12",SECTION 12,Mirpur
359,"united hospital limited cafe,road 72,gulshan 2,gulshan",GULSHAN,Gulshan
361,"apollo hospital , h 81 , sayem sobhan anvir rd, block e , bashundhara r/a",BASHUNDHARA R/A,Bashundhara R/A
362,"trauma center & ao orthopadic hospital,shyamoli,mohammadpur",MOHAMMADPUR,Mohammadpur
364,"salina hit's , 39/3, road 2, section 12",SECTION 12,Mirpur
376,"aiub campus, kuratali, khilkhet , bashundhara r/a",BASHUNDHARA R/A,Bashundhara R/A
377,"dica tex limited,house 62,road 18,sector 11,uttara",UTTARA,Uttara
378,"golden tulip the grandmark dhaka, block h, banani",BANANI,Banani
379,"house 51,road 16,sector 14,uttara",UTTARA,Uttara
381,"sn palace,h 696,rd 21,block f,basundhara r/a",BASUNDHARA R/A,Bashundhara
382,"new al imam hotel and restaurant, h 1, toyenbee circular rd, fakirapool",FAKIRAPOOL,Fakirapool
383,"tribute homes , 35, road 114, gulshan 2 , gulshan",GULSHAN,Gulshan
385,"titas par international,house 484,road 32,mohakhali dohs,mohakhali",MOHAKHALI,Mohakhali
387,"gulshan police checkpost, gulshan  avenue, gulshan  2, gulshan",gulshan,Gulshan
388,"lurashna , h 394 395 , rd 21, block g , basundhara r/a",BASUNDHARA R/A,Bashundhara
389,"hurdaco international school,rd 2,block a,basundhara r/a",BASUNDHARA R/A,Bashundhara
390,"irri , h 103, rd 1,banani",BANANI,Banani
391,"dish & dessert , block c , banani",BANANI,Banani
392,"asoi-jv ( technical ), banani dohs",BANANI DOHS,Banani
393,"darmaesthetics skin & laser centre, sector  13, uttara",UTTARA,Uttara
394,"inspira advisory and consulting ltd , gulshan 1 , gulshan",GULSHAN,Gulshan
399,"air ambulance and stretcher services on commercial airlines , kemal ataturk avenue , banani",BANANI,Banani
400,"house 37 , lake driver road , sector 7,  uttara",UTTARA,Uttara
401,"shornali , road 2/a , house 08 , block f , banani",BANANI,Banani
402,"apurba  apsora gardenia ,530, block f road 17 , bashundhara r/a",BASHUNDHARA R/A,Bashundhara R/A
403,"plot 647 , rd 3, block g , basundhara r/a",BASUNDHARA R/A,Bashundhara
405,"gemini shopping center , kemal ataturk avenue , banani",BANANI,Banani
406,"298, block road 1 , basundhara r/a",BASUNDHARA R/A,Bashundhara
407,"898, road no. 17, basundhara r/a",BASUNDHARA R/A,Bashundhara
408,"canadian university of bangladesh , 99 , road 11, banani",BANANI,Banani
409,"mayabi sharmin , house 274 , al haj abdus  sobhan road , block  b , basundhara r/a",BASUNDHARA R/A,Bashundhara
410,"bashat architects engineers , block f , banani",BANANI,Banani
