"location","address","area","city","longitude","latitude"
"""the ent and head neck cancer hospital and institute,north shyamoli""","Professor Dr. Shaikh Nurul Fattah Rumi, Head of ENT and Head Neck dept, DMC, Road 4, Dhanmondi, Dhaka","Dhanmondi","Dhaka","90.383283","23.7416233"
"""bazar sadai departmental store,dewanbag""","Sadai Departmental Store, Sharafat Ali Dream, House  44/3, Azimpur Road, Azimpur, Dhaka","Azimpur","Dhaka","90.38438262049328","23.72414450974821"
"""g.h.p electronics, dhakachittagong highway, westy jatrabari""","Fatema Electronics And Electric, House  270/1, Dhaka Mawa Highway, Dewanpara, South Jatrabari, Jatrabari, Dhaka","Jatrabari","Dhaka","90.43494687819964","23.703793064446625"
"""206/1, nort shajahan pur road, uttor shahajahanpur railway banijjik alaka, shahjahanpur""","206, 206/1, North Shahjahanpur, Shahjahanpur, Dhaka","Shahjahanpur","Dhaka","90.42533967999996","23.74491840999999"
"""road 22,mohakhali dohs,sher e bangla nagar""","Sher E Bangla Nagar, Sher E Bangla Nagar, Dhaka","Sher E Bangla Nagar","Dhaka","90.37632192","23.76849829"
"""civil aviation c type quarter,new airport road""","Civil Aviation Officers Quarter, Road  26, Banani, Dhaka","Banani","Dhaka","90.40754417299979","23.79373908658745"
"""h 52/3, new easkaton rd, new easkaton""","House  52/3, New Eskaton Road, Eskaton, Dhaka","Eskaton","Dhaka","90.3965324163437","23.747342811934008"
"""dutch bangla bank ltd atm, station  rd, kamalapur""","Dutch-Bangla Bank PLC. (DBBPLC) ATM, Outer Circular Road, Kamlapur, Dhaka","Kamlapur","Dhaka","90.42592127","23.73167165"
"""new bikrampur pharmacy,h 19/1,rankin st,wari""","New Bikrampur Pharmacy, House  19/1, Rankin Street, Wari, Wari, Dhaka","Wari","Dhaka","90.41663867102733","23.721169513969066"
"""biswa sahitwa kendro , h 17, bishwa sahitto kendro ln, paribag, ramna""","House  17, Bishwa Sahitto Kendro Lane, Bangla Motor, Eskaton, Dhaka","Eskaton","Dhaka","90.39393437","23.74501579"
"""sarkari karmachari hospital""","Sarkari Kormochari Hospital, Gulistan, Dhaka","Gulistan","Dhaka","90.4052992","23.725171300000003"
"""abesh hotel biriyani house , mirpur - 2""","Abesh Hotel & Biriyani House, House  2, Road  2, Block E, Section 2, Mirpur, Dhaka","Mirpur","Dhaka","90.35635525743193","23.80372860975975"
"""nandipara garments rd, nandipara basabo""","New Al Madina Garments, Nandipara Bazar Road, Nandipara Bazar, Nandipara, Dhaka","Nandipara","Dhaka","90.44297552238959","23.74475121879782"
"""road to be named""","Be Fair Beauty Fair, Airport Road, Tejgaon, Dhaka","Tejgaon","Dhaka","90.38904000073671","23.762447321351203"
"""nandan selim , 8/f , road no . 2 , block d , basunmdhara r/a""","Nandan Selim, House  8/F, Road  1, Block D, Bashundhara, Dhaka","Bashundhara","Dhaka","90.43207527175387","23.818117977164224"
"""shanta garden""","Shanta Garden, House  50/B, New Eskaton Road, New Eskaton, Eskaton, Dhaka","Eskaton","Dhaka","90.39728882267258","23.74682682072186"
"""hawai goli, moddho bashabo, shhajahanpur""","Hawai Goli, Khilgaon, Dhaka","Khilgaon","Dhaka","90.43387627","23.74515614"
"""monsur vaban , house 125, peer shaheber goli , shantinagar ,kakrail""","Heritage Monsur Bhaban, House  125, Shantinagar, Dhaka","Shantinagar","Dhaka","90.4141672542562","23.738956966940105"
"""coal power generation company bangladesh limited (cpgcbl) unique heights ( level 17), 117, kazi nazrul islam avenue, eska""","Unique Helghts, House  117, Kazi Nazrul Islam Avenue, Ramna, Dhaka","Ramna","Dhaka","90.39603860803356","23.74315863248235"
"""khatun e jannat jame masjid , hazi piar ali rd , rustampur""","Baitul Jannat Jame Masjid, Middle Ali Nagar, Ali Nagar, Kamrangirchar, Dhaka","Kamrangirchar","Dhaka","90.36892981763748","23.713054774263025"
"""the tyre & battery bazar, h 60, kazi nazrul islam ave, east tejturipara""","The City Tyre, House  20/2, Culvert Road, Paltan, Dhaka","Paltan","Dhaka","90.41042860597372","23.733905967332294"
"""islami bank bangladesh limited , basabo market road , tempo stand , middle basabo""","Islami Bank Bangladesh PLC. (IBBPLC) Limited Bashabo Branch, Middle Basabo, Basabo, Dhaka","Basabo","Dhaka","90.43271248","23.74034027"
"""tetul para shahi jame masjid , namapara tetul tola""","Tetul Shop, Somrat Sobji Arot, Chattogram Road, South Jatrabari, Jatrabari, Dhaka","Jatrabari","Dhaka","90.43940002685162","23.70864265977823"
"""dncc dedicated covid - 19 hospital , mohakhali, dhaka- 1212, dakkhinpara""","Songkramok Bhadi Hospital, Dakkhinpara, Mohakhali, Dhaka","Mohakhali","Dhaka","90.4055645884892","23.775628716270607"
"""87 new eskaton road, home town complex , 9th floor""","Hometown Apartment, House  87, New Eskaton Road, Eskaton, Dhaka","Eskaton","Dhaka","90.39635807275774","23.7459016928144"
"""walton service centre , dhaka chittagong highway , sign board , shiddhirganj , narayanganj , 1361""","Sign Board Shop, House  Ka/96, Pragati Sarani, Kuril, Dhaka","Kuril","Dhaka","90.42095350837815","23.8187309464939"
"""90/1 jomidar goli , shiddeswari, ramna, 1000""","Jomidar Goli, Ramna, Dhaka","Ramna","Dhaka","90.40573602","23.74857661"
"""heritage school , dhaka narayanganj rd , chasara , narayanganj sadar , narayanganj , 1400""","Shyampur Government Primary School, Dhaka Narayanganj Highway, Shyampur, Dhaka","Shyampur","Dhaka","90.43595653027296","23.684432435803732"
"""ad din hospital rd, moghbazar""","Ad-din Pharmaceuticals HQ, Ad-Din Hospital, House  2, Jomidar Goli, Moghbazar, Dhaka","Moghbazar","Dhaka","90.40552988235095","23.748234359386927"
