location, address, area, city, longitude, latitude
""SOUTH KAFRUL"", "South Kafrul Panir Pump, South Kafrul, Kafrul, Dhaka", "Kafrul", "Dhaka", "90.38510218262672", "23.783124484567118"
""MOHAKHALI"", "Mohakhali DOHS Lake, Mohakhali DOHS, Mohakhali, Dhaka", "Mohakhali", "Dhaka", "90.39445463785415", "23.784533554730913"
""GOPIBAG"", "Gopibagh, Gopibagh, Dhaka", "Gopibagh", "Dhaka", "90.42620827", "23.72148341"
""SOUTH KAFRUL"", "South Kafrul Panir Pump, South Kafrul, Kafrul, Dhaka", "Kafrul", "Dhaka", "90.38510218262672", "23.783124484567118"
""MOHAKHALI"", "Mohakhali DOHS Lake, Mohakhali DOHS, Mohakhali, Dhaka", "Mohakhali", "Dhaka", "90.39445463785415", "23.784533554730913"
""GOPIBAG"", "Gopibagh, Gopibagh, Dhaka", "Gopibagh", "Dhaka", "90.42620827", "23.72148341"
""BASHUNDHARA R/A"", "House  554,555, Road  23, Block L, Bashundhara R/A, Dhaka", "Bashundhara R/A", "Dhaka", "90.44770081292165", "23.82153768610095"
""AGARGAON"", "Agargaon Sub Post Office, Agargaon Administrative Area, Agargaon, Dhaka", "Agargaon", "Dhaka", "90.3773172212", "23.778322392"
""GULSHAN"", "Gulshan 1, Gulshan 1, Gulshan, Dhaka", "Gulshan", "Dhaka", "90.41687965393066", "23.780239574826812"
""PANTHAPATH"", "Panthapath, Panthapath, Dhaka", "Panthapath", "Dhaka", "90.38700198", "23.75117801"
""MALIBAGH"", "Malibagh College Road ( Malibagh Bazar Road ), Malibagh, Dhaka", "Malibagh", "Dhaka", "90.41424856", "23.74770643"
""UTTARA"", "Uttara University, Uttara, Dhaka", "Uttara", "Dhaka", "90.40249279999999", "23.869681600000003"
""DHANMONDI"", "Dhanmondi Lake Road, Dhanmondi, Dhaka", "Dhanmondi", "Dhaka", "90.3755736", "23.742744"
""PALLABI"", "Doctor Sharif chamber, House  G/15, Extension Pallabi, Pallabi, Dhaka", "Pallabi", "Dhaka", "90.35763308520394", "23.82276451446235"
""WEST DHANMONDI"", "West Dhanmondi, West Dhanmondi, Dhanmondi, Dhaka", "Dhanmondi", "Dhaka", "90.366539955139", "23.750732031005"
""SECTOR 13"", "Sector 13, Sector 13, Uttara, Dhaka", "Uttara", "Dhaka", "90.387525558472", "23.871017279476"
""BANANI DOHS"", "Banani Dohs Field, Road  3, Banani DOHS, Banani, Dhaka", "Banani", "Dhaka", "90.39849033225403", "23.792809774983468"
""BANANI"", "Banani Dohs Field, Road  3, Banani DOHS, Banani, Dhaka", "Banani", "Dhaka", "90.39849033225403", "23.792809774983468"
""KHILGAON"", "Khilgaon South Society, Khilgaon South Society, Khilgaon, Dhaka", "Khilgaon", "Dhaka", "90.421761274338", "23.74941639251"
""BASUNDHARA R/A"", "Le Reve Rupayan - Basundhara R/A, House  C/2, Umme Kulsum Road, Block G, Bashundhara, Dhaka", "Bashundhara", "Dhaka", "90.4297097", "23.8241828"
""FAKIRAPOOL"", "Fakirapool, Fakirapool, Dhaka", "Fakirapool", "Dhaka", "90.41679647", "23.73319121"
""NIKETON"", "Tasty Treat Cafe, Niketon, House  53/55, Road 3, Block B, Niketon, Dhaka", "Niketon", "Dhaka", "90.41205741870681", "23.774246121558647"
""BANGLADESH"", "Bangladesh Betar Canteen, Bangladesh Betar, Sayed Mahbub Morshed Road, Agargaon, Dhaka", "Agargaon", "Dhaka", "90.37298362702131", "23.77596133496198"
""SECTION 12"", "Section 12, Section 12, Mirpur, Dhaka", "Mirpur", "Dhaka", "90.371732711792", "23.825760683553"
""BASHJUNMDHARA R/A"", "House  554,555, Road  23, Block L, Bashundhara R/A, Dhaka", "Bashundhara R/A", "Dhaka", "90.44770081292165", "23.82153768610095"
""KALABAGAN"", "Kalabagan, Kalabagan, Dhaka", "Kalabagan", "Dhaka", "90.38513977", "23.74789446"
