Location Name,Address,Classified Area
ANOSHUA,"H 59, RD 25, Banani",Banani
PACIFIC ASSOCIATES LTD,"Road 114, Gulshan Ave, Gulshan 2",Gulshan
CP FIVE STAR,"H 99/2, Azimpur Rd, Azimpur",Azimpur
"160, HATIRPOOL","Dhanmondi R/A, Paltan",Paltan
"82/12, SOUTH BARONTEK","South Barontek, Dhaka 1206",South Barontek
YOUNG FOREVER,"Road 06, Banani DOHS, Banani",Banani
DHAKA COMMERCE COLLEGE,"Commerce College Road, Section 2",Section 2
ASIA LING APPARELS (BD) LTD,"Sector 7, Uttara",Uttara
HUIGH PARK RESIDENCE,"H 99, Viqarunnisa Rd, Siddheswari",Siddheswari
SUNBEAM CAFE,"38A, Road 103, Gulshan 2, Gulshan",Gulshan
ABDUL GHANI LODGE,"23/P, Road No. 2, Block D, Bashundhara R/A",Bashundhara
AZIMPUR CHAPRA MASJID,"Azimpur Chapra Masjid Rd, Azimpur",Azimpur
CPM (CENTER FOR PHYSIOTHERAPY AND MOBILITY),"Malibagh Rail Gate, Malibagh",Malibagh
"HOUSE 66, ROAD 2","Block A, Niketan, Gulshan",Gulshan
ROAD 131,"Dakkhin Badda, Gulshan",Gulshan
SHIKDER BARI,"Eastern Housing, Golden Street, Shyamoli, Mohammadpur",Shyamoli
BLOCK I,Bashundhara R/A,Bashundhara
DEWAN CO,"109, DIT Road, Malibagh Rail Gate, Malibagh",Malibagh
SABAAH PHARMA,"Sector 3, Uttara",Uttara
NILAMBAR CORPORATION,"Block F, Banani",Banani
"RD 7, BLOCK E","Block E, Mirpur 1",Mirpur
"RD 26, BLOCK L","Block L, Bashundhara R/A",Bashundhara
PARIBAGH GARDEN TOWER,Paribagh,Paribagh
YAGISHITA PALACE,"Road 7, Section 2, Uttor Badda",Uttor Badda
"RD 15, BLOCK J","Block J, Bashundhara R/A",Bashundhara
SOUTH BADDA ROAD,"Dakkhin Badda, Gulshan",Gulshan
CLIFFORD NAFI,"Kaderabad Housing, Mohammadpur",Mohammadpur
MIRPUR MISSION,"Shorok 2, Section 2, Mirpur",Mirpur
REKHA SHOES,Elephant Rd,Elephant Road
SHEIKH RUSSEL NATIONAL GASTROLIVER INSTITUTE,"TB Gate Road, Mohakhali",Mohakhali
ZAMAN TOWER,"H 37.2, Culvert Rd, Fakirapool",Fakirapool
"AVENUE 2, ROAD 12","Road 12, H 875, Mirpur",Mirpur
TOPIA SHARUBA,"D Block 9 No Road, Block D, Bashundhara R/A",Bashundhara
SOFIA GARDEN,"Block F, Road 21, Bashundhara R/A",Bashundhara
TASHPIA KAZI TOWER,"Road 9, Block M, Banasree",Banasree
DR. SINTHIA CONSULTANT,"Gulshan 2, Gulshan",Gulshan
ROAD NO. 22,Bashundhara R/A,Bashundhara
AN ARK NEPAL HOUSE,"House 11, Lane 11/1, Block B, Section 10, Mirpur",Mirpur
"H 37/L, RD 3","H 37/L, RD 3, Block D, Bashundhara R/A",Bashundhara
HOMELAND MAHABUB PALACE,"House 295/A, Sayem Sobhan Anvir Road, Block C, Bashundhara R/A",Bashundhara
EXCLUSIVE APARTMENT,"384, Al Haj Abdus Sobhas Road, Block B, Bashundhara R/A",Bashundhara
UTTARA ENGINEERING COLLEGE,"Paper Mill Road, Abdullahpur, Uttara",Uttara
RAHMAN CHEMBER,"Toyenbee Road, Banglabhaban Area, Hatkhola",Hatkhola
UTTARA NORTH METRO RAIL STATION,Uttara,Uttara
EMON,"H 28/A, Rd 1, Mohammadi Housing Ltd, Mohammadpur",Mohammadpur
THE MAJESTIC,"Adhunik Hospital Road, Section 12",Section 12
FARUK GENERAL STORE,"H 8/15, Rd 1, Block C, Lalmatia",Lalmatia
