Location Name,Address,Classified Area
NADDA PARA,"Boisakhe Mor, Hazi Camp Rd, Nadda Para, Dakshinkhan",Nadda
NEW BIKRAMPUR PHARMACY,"H 19/1, Rankin St, Wari",Wari
IBN SINA PHARMACY,"H 48, RD 9A, Dhanmondi",Dhanmondi
CITY BANK ATM,"Maruf Market, Malibagh",Malibagh
MADARTEK ABDUL AZIZ HIGH SCHOOL,"Poschim Madartek Road, Purbo Nondipara, Shahjahanpur",Shahjahanpur
BISWA SAHITWA KENDRO,"H 17, Bishwa Sahitto Kendro Ln, Paribag, Ramna",Paribag
SARKARI KARMACHARI HOSPITAL,"Priya Bhaban 1, Section 2, Banani",Banani
ROYAL BUFFET,"Residential Area, Dhanmondi",Dhanmondi
PROTTASHA BRIDGE,"Dhaka Ashulia Highway, Bhatalia, Uttara",Uttara
"H 48, NEW ESKATON RD",New Eskaton,New Eskaton
ABESH HOTEL BIRIYANI HOUSE,Mirpur - 2,Mirpur
"H 41, RD 2","PC Culture Housing Society, Mohammadpur",Mohammadpur
NANDIPARA GARMENTS RD,Nandipara Basabo,Basabo
NANDAN SELIM,"Block D, Bashundhara R/A",Bashundhara
TEJGAON REGISTRATION COMPLEX JAAME MOSQUE,"Love Road, East Nakhalpara, Niketon",Nakhalpara
SHANTA GARDEN,Motijheel,Motijheel
MOTIJHEEL IDEAL SCHOOL AND COLLEGE OFFICE,"Mazar Rd, AGB Colony, Motijheel",Motijheel
HAWAI GOLI,"Moddho Bashabo, Shahjahanpur",Shahjahanpur
MONSUR VABAN,"House 125, Peer Shaheber Goli, Shantinagar, Kakrail",Shantinagar
COAL POWER GENERATION COMPANY BANGLADESH LIMITED (CPGCBL),"Unique Heights, Level 17, Eskaton",Eskaton
KHATUN E JANNAT JAME MASJID,"Hazi Piar Ali Rd, Rustampur",Rustampur
BEAUTY,"318, Al Haj Abdus Sobhan Road, Block B, Bashundhara R/A",Bashundhara
THE TYRE & BATTERY BAZAR,"H 60, Kazi Nazrul Islam Ave, East Tejturipara",Tejturipara
ISLAMI BANK BANGLADESH LIMITED,"Basabo Market Road, Tempo Stand, Middle Basabo",Basabo
AIRPORT POLICE STATION,New Airport Road,Biman Bandar
SHAT TARA GOLI,Mogbazar,Mogbazar
TETUL PARA SHAHI JAME MASJID,Namapara Tetul Tola,Tetul Tola
SOHRAWARDY AVENUE,"Baridhara, Gulshan",Baridhara
DNCC DEDICATED COVID-19 HOSPITAL,Mohakhali,Mohakhali
DAKKHINPARA,Dakkhinpara,Dakkhinpara
HOME TOWN COMPLEX,87 New Eskaton Road,New Eskaton
WALTON SERVICE CENTRE,"Dhaka Chittagong Highway, Sign Board, Shiddhirganj, Narayanganj",Shiddhirganj
90/1 JOMIDAR GOLI,"Shiddheswari, Ramna",Shiddheswari
ALHAZ MD NEWAZ ALI,"H 882, RD 10, Khilgaon",Khilgaon
HEALTHCARE BODY SPA,Gulshan 1,Gulshan
HERITAGE SCHOOL,"Chashara, Narayanganj",Narayanganj
AD DIN HOSPITAL RD,Moghbazar,Moghbazar
"HOUSE 51, ROAD 17","Sector 11, Uttara",Uttara
ENTRY GATE FOR RD 5,"Hazrat Shahjalal International Airport, Kurmitola",Biman Bandar
HAZRAT SHAHJALAL INTERNATIONAL AIRPORT,"Bhuiyan Eastate, Outer Stadium",Rayer Bazar
RAYER BAZAR,Mirpur 2,Mirpur
MILK VITA RD,Mohammadpur,Mohammadpur
"BLOCK C, TAJMAHAL ROAD",Dhanmondi,Dhanmondi
IBN SINA CONSULTATION & DIAGNOSTIC CENTER,"Jashim Uddin Member Rd, Ahiyaan City, Dakshinkhan",Dakshinkhan
