Location Name,Address,Classified Area
BIROTI RESTORA,"Station RD, Kamalapur",Kamalapur
POPULAR PHARMACY,"Zafrabad, Mohammadpur",Mohammadpur
BHUIYA LODGE,"8, Road 3, Section 2",Mirpur
NEST SOURCING LTD,"RD 10, Mirpur DOHS",Mirpur DOHS
CRIMSON CUP,"300 Feet Entrance, Bashundhara",Bashundhara
SUSHI KYUBEY,"Road 50, Gulshan 2",Gulshan
CHEF'S TABLE,Gulshan 1,Gulshan
THE BUFFET STORIES MIRPUR,Mirpur,Mirpur
AMELA VILLA,"H 204/1, Rampura Titas RD, Block C, Banashree",Banashree
MOJAR TV,"Outer Circular RD, Kamalapur",Kamalapur
PALMYRA,"317, Road No 14, Block A, Bashundhara R/A",Bashundhara
NORTH END COFFEE ROASTERS,"Road 23, Gulshan 1",Gulshan
NAPD OFFICE,"Kataban RD, Nilkhet",Nilkhet
DUTCH BANGLA BANK ATM,"Airport Road, New Airport Road, Kurmitola, Sector 2",Biman Bandar
"461, I BLOCK ROAD 1",Bashundhara R/A,Bashundhara
"H 534, RD 11",Baridhara DOHS,Baridhara DOHS
NONGOR,"323, Al Haj Abdus Sobhan Road, Block B, Bashundhara R/A",Bashundhara
BISHNURPRIYA HOTEL,"Tati Bazar, Kotwali",Kotwali
CP FIVE STAR,"Unmesh Datta Road, Noorbagh, Siddikbazar",Siddikbazar
CHURCH HOLYCROSS,"Holycross College RD, Farmgate",Farmgate
GULSHAN LINK RD,Gulshan,Gulshan
AZIM GARMENTS LTD,"Chadd Uddan Housing, Mohammadpur",Mohammadpur
SAULYS FOOD,Panthapath,Panthapath
STAMFORD UNIVERSITY,"Dhaka Chittagong Highway, Sayedabad",Sayedabad
IBN SINA HOSPITAL,"68, Road 15A, Dhanmondi R/A",Dhanmondi
M/S MUKTA GENRAL STORE,"35/A, Salim Uddin Market Road, Senpara Parbata, Ahmed Nagar",Senpara Parbata
JANATA BANK LIMITED,"West, Dhanmondi",Dhanmondi
BEGUNBARI,"Ajmir, Tejgaon",Tejgaon
BAITUL FALA JAME MASJID,"RD 4, Block E, Banashree",Banashree
AL MATIN TOWER,"146, Road 13B, Banani",Banani
"12/1/2, ROAD NO 2","Road No 2, Mukti Housing, Shyamoli",Shyamoli
INMAS MIRPUR ROAD,"Shahid Suhrawardy Medical College, Sher-e-Bangla Nagar",Sher-e-Bangla Nagar
"H 16, RD 4",Mirpur 13,Mirpur
SURGEPORT LOGISTICS PRIVATE LIMITED,"Kemal Ataturk Avenue, Banani",Banani
SABOZ AUTOMOBILES AND CAR WASH,"Road 3B, Sector 15, Uttara",Uttara
"LN 8, BENARASHI PALLI",Mirpur 10,Mirpur
"RD 12, BLOCK C",Mirpur 6,Mirpur
"930, SABRINA SOBHAN 4TH AVENUE ROAD","Block D, Bashundhara R/A",Bashundhara
"HOUSE 36, ROAD 7","Uttara, Sector 13",Uttara
"3/1, ROAD 3","Mukti Housing, Kallyanpur",Kallyanpur
SHARIFA PHARMA,Section 6,Mirpur
NESCAFE,"Khilgaon, Shahjahanpur",Khilgaon
NAMAPARA,"Station RD, Kamalpur",Kamalapur
OXFORD REFRIGERATION,Bashundhara R/A,Bashundhara
MUSLIN INTERNATIONAL LIMITED WAREHOUSE,"H 41/7, Culvert RD, Fakirapool",Fakirapool
DOMINANT BUILDER LTD,"Dholipara, Uttara",Uttara
YMCA TRAINING CENTRE,"Section 6, Mirpur",Mirpur
BAR Q TONITE,Savar,Savar
IDEAL COLLEGE,"27 (Old), Dhanmondi",Dhanmondi
