Location Name,Address,Classified Area
"HOUSE - 47, ROAD -11","Sector-13, Uttara",Uttara
BOUDDHO MONDIR BUS STOPPAGE,"Autish Dipankar Road, Moddho Bashabo, Komlapur",Bashabo
IMARAT MOTOR CYCLE ENGINE OIL,"DIT RD, Malibagh Rail Gate, Malibagh",Malibagh
RASUL NAGAR,"Dhaka, Bangladesh",Dhaka
PROJONMO BUS STOP,"Atish Depankar Road, Moddho Bashabo, Shahjahanpur",Bashabo
SONAR BANGLA MEDIA,"Nurerchala RD, Nurercahala",Badda
TRIMOHONI POSCHIMPARA ALHE HADITH JAME MASJID,"Banashree Demra RD, Khilgaon",Khilgaon
"125/KHA, FRIENDS ROAD","Mukti Housing, Dokkhon Pirerbagh",Pirerbagh
NOOR VILLA,Section 6,Mirpur
BANK ALFALAH LIMITED MIRPUR,"Kalsi Road, Block D, Section 11, Mirpur",Mirpur
PATHAO HQ,"H CWN 3A, RD 49, Gulshan 2",Gulshan
MIRPUR 11 METRO RAIL STATION,"Mirpur 11, Dhaka",Mirpur
YASMEENS,"House 227, Road 6C, Block B, Bashundhara R/A",Bashundhara
LUCKY STAR,"Block F, Banani",Banani
DUTCH BANGLA BANK ATM,"Airport Road, New Airport Road, Kurmitola, Sector 2",Biman Bandar
MAA HOMEO PHARMACY,"Block D, RD 25, Block TA, Mirpur 12",Mirpur
FATEMAS FASHION,"Green Road, Dhanmondi",Dhanmondi
PURBACHALGAS FILLING STATION,"Darus Salam Road, Darus Salam",Darus Salam
NAVANA SOMERSET,"Chamilibagh, Dokkhon Shahjahanpur, Paltan",Paltan
AHNAF SANITORY,"Green Road, Dhanmondi",Dhanmondi
"5, KACHABAZAR ROAD",Section 10,Mirpur
BANK ASIA ATM,"Shabag RD, Shahbag",Shahbag
NEW ROSHMELA SWEETS AND BAKERY,"Vatara RD, Natun Bazar",Vatara
KHABAR BILASH,"Block B, Section 12, Pallabi (Kalshi Main Road), Mirpur",Mirpur
THE JUTE 7,"Road 8, Kurmitola, Sector 3",Kurmitola
TABAQ GRAMEENPHONE OFFICE,"Bashundhara RD, Bashundhara",Bashundhara
INDIRA RD,"East Rajabazar, Tejgaon",Tejgaon
ANJUMAN MUFIDUL ISLAM RD,Naya Paltan,Naya Paltan
"227, ROAD 12, SECTION 12",Shahbag,Shahbag
"1/11, SIR ALLAMA MUHAMMAD IQBAL ROAD",Mohammadpur,Mohammadpur
KHILKHET BAZAR,"Khilkhet Bazar RD, Khilkhet",Khilkhet
"RD 12/A, DHANMONDI LAKE PARK",Dhanmondi,Dhanmondi
BASHIR RAZIA VILLA,Banani,Banani
UTTARA BANK BRANCH 26,"Begum Rokeya Sharani, Section 11",Mirpur
"SAC, NSU RD","Block B, Bashundhara R/A",Bashundhara
HASHIM TOWER,Uttara,Uttara
FAMILY HOUSE 2,"North Pererbug, Mukti Housing, Dokkhon Monipur",Monipur
WOODEN SPOON,"NSU Road, Bashundhara R/A",Bashundhara
NEVIN GENERAL STORE,Middle Badda,Badda
PIZZA WALY,"Lake Drive Road, Middle Badda",Badda
AARONG,"Tejgaon Gulshan Link Road, Gulshan 1",Gulshan
MIRPUR DOHS,"House 710, Road 10, Avenue D, Mirpur DOHS",Mirpur
RANGS NIKETON,"Road 9, Block C, Niketon, Gulshan",Gulshan
NATIONAL HEART FOUNDATION HOSPITAL,"Tolarbag, Mirpur 1",Mirpur
"RDE 6, BLOCK B",Banasree,Banasree
"H 48, INDIRA ROAD",Farmgate,Farmgate
ROAD 10 BLOCK D HOUSE 328,Bashundhara,Bashundhara
"HOUSE 83/5, OMAR ALI LANE","West Rampura, Rampura",Rampura
