Location Name,Address,Classified Area
SHOUVA,"KA 22/B, Shahid Fazlul Haque Rd, Nadda",Nadda
"HOUSE A/9, AL KAMAL HOUSING","Zoo Road, Mirpur, Dhaka",Mirpur
IBN SINA MEDICAL COLLEGE AND HOSPITAL,Kallyanpur,Kallyanpur
AHN TOWER,"Bir Uttam CR Datta Rd, Hatirpool",Hatirpool
SHAMEEM REFRIGERATION WORKS LTD,"Gulshan 1, Gulshan",Gulshan
PWD JAME MASJID,Rajarbag,Rajarbagh
GOLAP VILLA 1,"37, Road 10A, Dhanmondi R/A",Dhanmondi
ARONG ER GOLI,"Wireless, Moghbazar",Moghbazar
HIGH PARK RESIDENCE,"H 99, Viqarunnisa Rd, Siddheswari",Siddheswari
J AND J ENTERPRISE,"House 144, Khilbarirtek Main Road, Vatara, Dhaka 1212",Vatara
MOHAMMADIA R/A MAIN RD,"Prominent Housing, Mohammadpur",Mohammadpur
"HOUSE 14, ROAD 6, SECTOR 10","Sector 10, Uttara",Uttara
WEAT MERUL JAME MASJID,"West Merul Badda Rd, Merul Badda",Badda
FERNS WOOD,"41, Raja Bazar Indira Road, Dhanmondi",Dhanmondi
LAKE CITY CONCORD,Khilkhet,Khilkhet
"HOUSE 430, ROAD 17","Block A, Bashundhara R/A",Bashundhara
GALAXY MEDICINE CORNEE,"1/1, Section 2",Section 2
AYESHA VILLA,"H 680, Rd 12A, Adabor",Adabor
SHOHAG TEA STORE,"Sector 8, Uttara",Uttara
BEIRUT 99,"235, Road 13E, Banani",Banani
SAMIR ELECTRONIC,"445, 445/1, Greenway Road, Wireless, Moghbazar",Moghbazar
CK MARITIME LTD,"Plot 836, Road 12, Avenue 3, Mirpur DOHS",Mirpur DOHS
SALIM UDDIN MARKET ROAD,"52/2, Salim Uddin Market Road, Senpara Parbata, Ahmed Nagar",Senpara Parbata
ORIENTA MULTI PURPAS CO OPERATIVE,"Foot Overbridge, Nijhum Residential Area, Hazaribag",Hazaribag
CITY BANK ATM,"Bir Uttam Mir Shawkat Sarak, Tejgaon",Tejgaon
OGSB HOSPITAL,"Block C, Mirpur 13",Mirpur
SATTAR VABAN,"H 32/3, Rd 10, Janata Housing, Mohammadpur",Mohammadpur
VAI VAI CYCLE & HARDWARE,"Rd 8, Shekhertek, Mohammadpur",Mohammadpur
AARONG,Lalmatia,Lalmatia
MNA BARRISTERS & ADVOCATES,"Suite 3B, H 7, Rd 33, Gulshan 1",Gulshan
SHAHJADPUR EAST SOUTH PARA RD,North Badda,Badda
"HOUSE 37, ROAD 5","Sector 10, Uttara",Uttara
UNITED SEED DHAKA,"Dhaka Aricha Highway, Aftabnagar",Aftabnagar
GREEN VIEW,"385/4/A/B, Free School Street, Dhanmondi",Dhanmondi
RANGS MALANCHA,"West, Dhanmondi",Dhanmondi
"H 231, SATARKUL RD","Bawaila Para, Badda",Badda
JANATA SOROK,"H 620, Rd 19, Block F, Bashundhara R/A",Bashundhara
I CARE COMPUTER SYSTEM,"House 41/2/E/3, Hari Charan Ray Road, Faridabad, Gendaria",Gendaria
"H 366/6, RD 6","H 366/6, Rd 6, Baridhara DOHS",Baridhara DOHS
NEW JANANI ENGINEERING WORKSHOP,"Nabi Nagar Housing, Mohammadpur",Mohammadpur
G. PRASANTY,"10, Road 3, Mukti Housing, Kallyanpur",Kallyanpur
AIRPORT ROAD,"New Airport Road, Kurmitola, Sector 2",Biman Bandar
SOHRAWARDY AVENUE,"Baridhara, Gulshan",Baridhara
"27/26, BLOCK D","Sher Shah Suri Road, Mohammadpur",Mohammadpur
POPULAR MEDICAL COLLEGE OUTDOOR,"Residential Area, Dhanmondi",Dhanmondi
JAMIYA DERACHATUL MADRASA,"H54, Central Rd, Dhanmondi",Dhanmondi
BANK ALFALAH LIMITED MIRPUR,"House 1, Kalsi Road, Block D, Section 11, Mirpur, Dhaka 1216",Mirpur
