Unnamed: 0,Pickup Point,Pickup Area
2,"AREA71 VENTURE LIMITED HEADQUARTERS,SECTOR 10,UTTARA",Uttara
16,"DR NADIA FERDOUS,RESIDENTIAL AREA,DHANMONDI",Dhanmondi
17,"LE CHATEUA,GULSHAN 2,GULSHAN",Gulshan
21,"BASUNDHARA MASJID,R4 ,RD 3,BLOCK D,BASUNDHARA R/A",Bashundhara
23,"POPULAR PLACE,SHEKHERTEK,MOHAMMADPUR",Mohammadpur
24,"AIRPORT ROAD,NEW AIRPORT ROAD,KURMITOLA,SECTOR 2",Purbachal
33,"BROTHERS FURNITURE LTD,SECTOR 4,UTTARA",Uttara
34,"LUXOR,ZAFRABAD,MOHAMMADPUR",Mohammadpur
39,"RD 19,SECTOR 11,UTTARA",Uttara
40,"VIVEK MAJESTA,GULSHAN 2,GULSHAN",Gulshan
43,"AIRPORT ROAD , NEW AIRPORT ROAD , KURMITOLA , SECTOR 2",Purbachal
56,"FRESCO, H 36,NORTH RD,DHANMONDI",Dhanmondi
57,"GATEWAY OVERSEAS EDUCATION SOLUTION , ROAD O3, BLOCK B, NIKETON",Niketon
58,"XINXIAN RESTURANT,SECTOR 1,UTTARA",Uttara
59,"H  5, RD 20, NIKUNJA 2",Nikunja
60,"BANANI BRIDGE,GULSHAN 2,GULSHAN",Gulshan
61,"DATACRIFT LIMITED , RESIDENTIAL AREA , DHANMONDI",Dhanmondi
63,"PLAYPEN, H 271, RD 14, BLOCK C, BASUNDHARA R/A",Bashundhara
66,"52/3, ROAD 2/1, SECTION 12",Mirpur
67,"SCHOOLAR'S SCHOOL AND COLLEGE , H 63, 71, RD  7/A, DHANMONDI",Dhanmondi
68,"IBN SINA DIAGNOSTIC & CONSULTATION CENTRE, GAREEB E NAWAZ AVENUE , SECTOR 13, UTTARA",Uttara
69,"HERFY,BLOCK I,BASHUNDHARA R/A",Bashundhara R/A
71,"PLOT 330,RD 14,BLOCK A,BASUNDHARA R/A",Bashundhara
72,"SOROK 12,BASUNDHARA R/A",Bashundhara
73,"NR TOURS & TRAVELS,SECTOR 4,UTTARA",Uttara
74,"METRO PROPERTIES LIMITED,ROAD 36,GULSHAN 2,GULSHAN",Gulshan
76,"GULEV JANNAT ARIFABAD MAHILA MADRASA, I/10 , ARIFABAD HOUSING ROAD , EXTENDED PALLABI , MIRPUR",Mirpur
79,"HEAVEN SALON , 77, ROAD 17A , BANANI",Banani
82,"UNIQUE DIAGNOSTIC CENTER , GREEN ROAD, DHANMONDI",Dhanmondi
83,"REALIANCE BUILDING, H 146, RD 8, BLOCK D, BASHUNDHARA R/A",Bashundhara R/A
84,"73/H/1, SHAHID BUDDIJIBI MUNIR CHOWDHURY ROAD, DHANMONDI",Dhanmondi
87,"H 662, RD 20, BLOCK F, BASHUNDHARA R/A",Bashundhara R/A
88,"MUKTA PHARMACY,COMMERCE COLLEGE ROAD,SECTION 2",Mirpur
91,"KHUSHBU,111,ROAD 4,BLOCK C,BASUNDHARA R/A",Bashundhara
92,"APURUPA HAIR STYLE,R K MISSION RD,GOPIBAG",Gopibagh
95,"H 8 , RD 30, DHANMONDI",Dhanmondi
98,"H 93/1 , RD 8, NIKETON",Niketon
100,"NASIM ENTERPRISE,SECTOR 12,UTTARA",Uttara
112,"TAHMINA MANZIL,209/1,195 SHANTIBAG ROAD,SHANTIBAGH,MALIBAGH",Malibagh
114,"UNIVERSAL MUSIC & TIME BOOKS DOCTOR GOLI,MALIBAGH",Malibagh
115,"NTRENZ,MIRPUR,DOHS RD,PALLABI",Pallabi
116,"KAVAZO,ROAD 11,BLOCK H,BANANI",Banani
120,"NASIM ENTERPRISE, SECTOR 12, UTTARA",Uttara
122,"NAWAB HABIBULLAH MODEL SCHOOL & COLLEGE,SHAHJALAL AVE,SECTOR 4,UTTARA",Uttara
130,"MUTUAL TRUST BANK, AIRPORT  ROAD, NEW AIRPORT ROAD, KURMITOLA, SECTOR 2",Purbachal
131,"H 16 , GOPIBAG 3RD LN , GOPIBAG",Gopibagh
134,"H 10/13, TAJMAHAL RD , MOHAMMADPUR",Mohammadpur
138,"AURELIA, 8/Q, ROAD NO. 2 , BLOCK D, BASUNDHARA R/A",Bashundhara
140,"ZAHEEN KNITWEARS  LTD , ROAD 13C , BLOCK  E, BANANI",Banani
141,"MOLLA GENERAL STORE , BOCHILA RD, MOHAMMADPUR",Mohammadpur
142,"TAHMINA MONJIL, 209/1, 195 SHANTIBAG ROAD, SHANTIBAGH, MALIBAGH",Malibagh
146,"SALAM SUMMERSHINE,RESIDENTIAL AREA,DHANMONDI",Dhanmondi
156,"H 10 NEW/13 OLD,RD 5,DHANMONDI",Dhanmondi
157,"ASHA MONI STORE,LALMATIA,MOHAMMADPUR",Mohammadpur
159,"UNIVERSAL MUSIC & TIME BOOKS , DOCTOR GOLI, MALIBAGH",Malibagh
163,"H 22, RD 3, NIKUNJA 2",Nikunja
164,"KAVAZO , ROAD 11, BLOCK H, BANANI",Banani
165,"LANKAN ALLIANCE FINANCE LIMITED,GULSHAN 1,GULSHAN",Gulshan
166,"NAWAB HABIBULLAH MODEL SCHOOL & COLLEGE , SHAHJALAL AVE, SECTOR 4 , UTTARA",Uttara
168,"SCHOOL OF INTELLIGENCE,ROAD 10/A,SECTOR 11,UTTARA",Uttara
171,"GERMANIA HOLDINGS LTD,GULSHAN 2,GULSHAN",Gulshan
173,"MASTERMIND ABACUS,ROAD 07,SECTOR 13,UTTARA",Uttara
174,"LABAID CARDIAC CENTRE , GREEN ROAD, DHANMONDI",Dhanmondi
175,"SALAM SUMMERSHINE , RESIDENTIAL AREA, DHANMONDI",Dhanmondi
178,"WHITESHELL IT SHOP ,NIHARIKA CONCORD TOWER, KAMAL ATATURK AVENUE , BLOCK C, BANANI",Banani
180,"H 10 NEW/13 OLD, RD 5, DHANMONDI",Dhanmondi
181,"UNITREND LIMITED,BANANI DOHS",Banani
183,"ASHA MONI STORE, LALMATIA , MOHAMMADPUR",Mohammadpur
187,"DURUM-TURKISH DONER(BANANI),ROAD 11,BLOCK D,BANANI",Banani
188,"MAGNUM MANAGEMENT CONSULTING,ROAD 12,NIKETON,GULSHAN 1",Gulshan
196,"SHAMEEM REFRIGERATION WORKS LTD,GULSHAN 1,GULSHAN",Gulshan
202,"MOHAMMADIA R/A MAIN RD , PROMINENT HOUSING , MOHAMMADPUR",Mohammadpur
203,"HOUSE 14,ROAD 6,SECTOR 10,UTTARA",Uttara
205,"FERNS WOOD , 41 , RAJA BAZAR INDIRA ROAD , DHANMONDI",Dhanmondi
207,"HOUSE 430, ROAD 17 , BLOCK A, BASHUNDHARA R/A",Bashundhara R/A
208,"GALAXY MEDICINE CORNEE,1/1,SECTION 2",Mirpur
210,"SHOHAG TEA STORE ,  SECTOR 8 , UTTARA",Uttara
211,"BEIRUT 99,235,ROAD 13E,BANANI",Banani
213,"CK MARITIME LTD , PLOT 836 , ROAD 12 , AVENEW 3 , MIRPUR DOHS",Mirpur
219,"VAI VAI CYCLE & HARDWARE , RD 8 , SHEKHERTEK , MOHAMMADPUR",Mohammadpur
222,"MNA BARRISTERS & ADVOCATES , SUITE 3B, H 7, RD 33, GULSHAN 1",Gulshan
224,"HOUSE 37, ROAD  5, SECTOR  10 , UTTARA",Uttara
227,"GREEN VIEW , 385/4/A/B , FREE SCHOOL STREET ,DHANMONDI",Dhanmondi
228,"RANGS MALANCHA , WEST , DHANMONDI",Dhanmondi
232,"H 620, RD 19, BLOCK F, BASHUNDHARA R/A",Bashundhara R/A
235,"NEW JANANI ENGINEERING WORKSHOP , NABI NAGAR HOUSING , MOHAMMADPUR",Mohammadpur
237,"AIRPORT ROAD , NEW AIRPORT ROAD, KURMITOLA N, SECTOR 2",Purbachal
238,"SOHRAWARDY AVENUE,BARIDHARA,GULSHAN",Gulshan
240,"27/26,BLOCK D,SHER SHAH SURI ROAD,MOHAMMADPUR",Mohammadpur
241,"POPULAR MEDICAL COLLEGE OUTDOOR , RESIDENTIAL AREA , DHANMONDI",Dhanmondi
242,"JAMIYA DERACHATUL MADRASA,H54,CENTRAL RD,DHANMONDI",Dhanmondi
246,"H D 6, OUTER CIRCULAR RD , AGB COLONY , MOTIJHEEL",Motijheel
248,"AIRPORT MASJID , NEW AIRPORT RD",Biman Bandar
251,"KAWLA BUS STOP , NEW AIRPORT RD",Biman Bandar
257,"NILIMA LADIES TAILORS , H 34, RD 4, DHANMONDI",Dhanmondi
259,"H 26/11,TAJMAHAL RD,MOHAMMADPUR",Mohammadpur
260,"SABBIR TEA STORE , BOSILA , MOHAMMADPUR",Mohammadpur
261,"RONY TELECOM,MOSQUE ROAD2,KORAIL,MOHAKHALI",Mohakhali
263,"IFIC BANK LIMITED ( RAYER BAZAR SUB-BRANCH ), RAYER BAZAR ,MOHAMMADPUR",Mohammadpur
264,"HSBC BANK ATM,WEST DHANMONDI",Dhanmondi
267,"H 480, SHAHID BAKI SARAK, TALTOLA, KHILGAON",Khilgaon
268,"FERDAUSI FASHION , SECTOR 9, UTTARA",Uttara
269,"APOLLO HOSPITAL BASEMENT MASJID,H 81,STS AVE,BLOCK E,BASHUNDHARA R/A",Bashundhara R/A
270,"H 49, RD 12, NIKUNJA 2",Nikunja
271,"HOUSE 66,ROAD 2,BLOCK A,NIKETAN,GULSHAN",Gulshan
275,"DEWAN CO,109,DIT ROAD,MALIBAGH RAIL GATE,MALIBAGH",Malibagh
276,"H 8/A, RD 12, MOHAMMADI HOUSING SOCIETY , MOHAMMADPUR",Mohammadpur
277,"BLOCK I,BASUNDHARA R/A",Bashundhara
279,"SHIKDER BARI,EASTERN HOUSING,GOLDEN STREET,SHYAMOLI,MOHAMMADPUR",Mohammadpur
280,"FVL RAMISA, HOUSE 6/A, ROAD 7, MOHAMMADPUR HOUSING LIMITED , MOHAMMADPUR",Mohammadpur
281,"SOFIA GARDEN 666 & 667,BLOCK F ROAD 21,BASUNDHARA R/A",Bashundhara
284,"JAPAN GARDEN CITY ,BUILDING 19, FLAT 701, MOHAMMADPUR",Mohammadpur
288,"BISMILLAH , 06 , ROAD 1, BLOCK D, BASHUNDHARA R/A",Bashundhara R/A
297,"H 22, RD 7, KADERABAD HOUSING , MOHAMMADPUR",Mohammadpur
299,"19, ROAD 120 , BANANI, GULSHAN",Gulshan
300,"MITHAI MALIBAG COMMUNITY CENTER , CHOWDHURIPARA , MALIBAGH",Malibagh
301,"P0LIC CONVENTION HALL, OLD ELEPHANT ROAD, WIRELESS, PALTAN",Paltan
302,"ROAD 96, GULSHAN 2, GULSHAN",Gulshan
304,"REEN HOMES , H 10/7 , IQBAL RD , MOHAMMADPUR",Mohammadpur
305,"ANOSHUA ,H 59, RD 25, BANANI",Banani
308,"160, HATIRPOOL , DHANMONDI R/A , PALTAN",Paltan
310,"YOUNG FOREVER , ROAD 06 , BANANI DOHS , BANANI",Banani
311,"DHAKA COMMERCE COLLEGE , COMMERCE COLLEGE ROAD, SECTION 2",Mirpur
312,"ASIA LING APPARELS (BD) LTD , SECTOR 7, UTTARA",Uttara
315,"38A , ROAD 103, GULSHAN 2, GULSHAN",Gulshan
