Start Coordinates,End Coordinates,Start Location Name,End Location Name
"""(23.85337928398763, 90.40459755897663)""","""(23.74211374097487, 90.31461556544103)""","234,wasa road,west shewrapara,dhaka 1216",kazipara metro station
"""(23.773444420946976, 90.42664519605484)""","""(23.811082960534335, 90.40246954779964)""",banani dohs,banani graveyard
"""(23.72855913848747, 90.41394664943094)""","""(23.798147320064068, 90.36457505061395)""",banani dohs,"block j,basundhara r/a"
"""(23.723204675894156, 90.37354865479334)""","""(23.73412647762749, 90.37871110384665)""",banani dohs,"boithok,banani"
"""(23.85380906156918, 90.47853514223073)""","""(23.883574213978847, 90.39406604482402)""",banani dohs,dhaka new market
"""(23.85603707101292, 90.3115393445907)""","""(23.805546079390556, 90.49373083906387)""",banani dohs,gulshan 1
"""(23.86540407572042, 90.30240416603668)""","""(23.707308365565677, 90.34676591410617)""",banani dohs,kolabagan
"""(23.816192477988277, 90.33044828928051)""","""(23.702379724042142, 90.41403467701177)""",banani dohs,lalbagh fort
"""(23.810682789467766, 90.36939271531477)""","""(23.833138046415225, 90.36714653135046)""",banani dohs,mohakhali dohs
"""(23.863889545483627, 90.48397126425883)""","""(23.881668260285924, 90.34776831249462)""",banani dohs,"sultan's dine,gulshan branch"
"""(23.74728565788859, 90.49465835637587)""","""(23.893308127247913, 90.34548980686843)""",banani dohs,tejgaon
"""(23.73756003524474, 90.31606589699285)""","""(23.720175748258818, 90.46429045534217)""",bashundhara r/a,ashkona
"""(23.88741872480913, 90.45161906986883)""","""(23.84622796788345, 90.37193570731384)""",bashundhara r/a,banani graveyard
"""(23.808616694858248, 90.43928782627965)""","""(23.740436575055828, 90.39734172887087)""",bashundhara r/a,dohs baridhara
"""(23.774285511463766, 90.44933852094658)""","""(23.814365145760735, 90.46585588277405)""",bashundhara r/a,dohs baridhara
"""(23.868131547007998, 90.47369987515341)""","""(23.780978751701518, 90.45927682805922)""",bashundhara r/a,hotel suite palace
"""(23.872503663327873, 90.30533587946013)""","""(23.70620989093082, 90.3774409754917)""",bashundhara r/a,kuril flyover
"""(23.829776640086912, 90.317287787848)""","""(23.733866403144578, 90.31464661396988)""",bashundhara r/a,nikunja 1
"""(23.775585603414346, 90.48028457555304)""","""(23.770192387968624, 90.3318408824075)""",bashundhara r/a,sheikh russel krira chakra ltd
"""(23.844285183623533, 90.41327306420145)""","""(23.849946355324978, 90.43129055185267)""",bashundhara r/a,shkh russel krira chakra ltd
"""(23.719767493712958, 90.48359000256355)""","""(23.826699416898393, 90.43266230373557)""",dhanmondi 15 bus stand,agargaon circle
"""(23.732566513200094, 90.4655500002764)""","""(23.857642940030594, 90.3046854101442)""",dhanmondi 15 bus stand,banani
"""(23.841128780668612, 90.33313733577376)""","""(23.773114327998098, 90.4440716815901)""",dhanmondi 15 bus stand,bangladesh air force museum
"""(23.746713247986154, 90.30384898581887)""","""(23.748155768475723, 90.42942279964488)""",dhanmondi 15 bus stand,dhanmondi ideal school
"""(23.777461577043564, 90.30615805529563)""","""(23.708657105012474, 90.45904849878814)""",dhanmondi 15 bus stand,gandaria rail station
"""(23.756928201252048, 90.45353793488428)""","""(23.829836470088267, 90.32840963049915)""",dhanmondi 15 bus stand,"hazaribag, dhaka"
"""(23.790250776223793, 90.36136423177264)""","""(23.865668889693396, 90.40143626987728)""",dhanmondi 15 bus stand,katabon
"""(23.822558842033967, 90.33508180992216)""","""(23.708093954851925, 90.42990262457394)""",dhanmondi 15 bus stand,mirpur 1
"""(23.806723534641076, 90.30502325265627)""","""(23.800990295923086, 90.48032766360654)""",dhanmondi 15 bus stand,mirpur-1
"""(23.855757850900698, 90.44015582372577)""","""(23.749339863408245, 90.4947741764763)""",dhanmondi 15 bus stand,"sultan's dine, dhanmondi branch"
"""(23.80445858077152, 90.41789407773574)""","""(23.72624932840647, 90.46112667450002)""",dhanmondi 15 bus stand,tejkunipara
"""(23.873585478796855, 90.36846174088062)""","""(23.794338429422687, 90.49977954820372)""",dhanmondi 27 no bus stop,baitul mukarram national mosque
"""(23.703126391713035, 90.37067533022666)""","""(23.823934228695162, 90.4711017318247)""",dhanmondi 27 no bus stop,baitul mukarram national mosquebaitul mukarram national mosque
