Location Name,Address,Classified Area
Habiba Bhaban,"H 510, Rs 9, Baridhara DOHS",Baridhara
Domestic Terminal,"New Airport Road, Kurmitola, Sector 2",Biman Bandar
Express House,"Block H, Banani",Banani
"RD 1, Block G",Mirpur 1,Mirpur
Dr. Nadia Ferdous,"Residential Area, Dhanmondi",Dhanmondi
Le Chateau,"Gulshan 2, Gulshan",Gulshan
Vhai Bon Mansion,"81, Kalsi Road, Section 11",Mirpur
Dutch Bangla Bank ATM,"Airport Road, Kurmitola, Sector 11, 18, Section 10",Biman Bandar
Bashundhara Masjid,"R4, RD 3, Block D, Bashundhara R/A",Bashundhara
Rabbani Hotel and Restaurant,"1/1 Mirpur Rd, Begum Rokeya Sharani, Section 6",Mirpur
Popular Place,"Shekhertek, Mohammadpur",Mohammadpur
"Airport Road, Kurmitola","New Airport Road, Kurmitola, Sector 2",Biman Bandar
Bakshibazar Govt. Primary School,"Hussaini Dalan Road, Noorbagh, Siddikbazar",Siddik Bazar
Brothers Furniture Ltd,"Sector 4, Uttara",Uttara
Luxor,"Zafrabad, Mohammadpur",Mohammadpur
Dakshin Molla Tag,"Bottola, Dakshin Molla Tag, Dakshinkhan",Dakshinkhan
Nandan Dewan Park,"Sector 4, Uttara",Uttara
"450/1, West Kafrul","Mukti Housing, RD 19, Sector 11, Uttara",Uttara
Vivek Majesta,"Gulshan 2, Gulshan",Gulshan
"H 695/6, RD 11, Adabor",Adabor,Adabor
"Uttar Para, Khilkhet",Khilkhet,Khilkhet
Fresco,"H 36, North Rd, Dhanmondi",Dhanmondi
Gateway Overseas Education Solution,"Road O3, Block B, Niketon",Niketan
Xinxian Restaurant,"Sector 1, Uttara",Uttara
"H 5, RD 20, Nikunja 2",Nikunja 2,Nikunja
Banani Bridge,"Gulshan 2, Gulshan",Gulshan
Datacrift Limited,Dhanmondi,Dhanmondi
Playpen,"H 271, RD 14, Block C, Bashundhara R/A",Bashundhara
"House 44, Road 12B, Banani","Block E, Banani, Dhaka",Banani
75 Naya Paltan,"Mosjid Goli, 52/3, Road 2/1, Section 12",Paltan
Scholar's School and College,"H 63, 71, RD 7/A, Dhanmondi",Dhanmondi
IBN Sina Diagnostic & Consultation Centre,"Gareeb E Nawaz Avenue, Sector 13, Uttara",Uttara
Herfy,"Block I, Bashundhara R/A",Bashundhara
"Plot 330, RD 14, Block A, Bashundhara R/A",Bashundhara R/A,Bashundhara
SOROK 12,Bashundhara R/A,Bashundhara
NR TOURS & TRAVELS,"Sector 4, Uttara",Uttara
METRO PROPERTIES LIMITED,"Road 36, Gulshan 2, Gulshan",Gulshan
SHOHAH MANZIL,"KA 86/A, Rd 12, Baridhara DOHS",Baridhara
GULEV JANNAT ARIFABAD MAHILA MADRASA,"I/10, Arifabad Housing Road, Extended Pallabi, Mirpur",Mirpur
