pickup point,last part
"""the asgar show, sector 4,uttara""","""uttara"""
"""koyla restaurant link.r0ad, gulshan 1""","""gulshan 1"""
"""area71 venture limited headquarters,sector 10,uttara""","""uttara"""
"""peyaia cafe, kemal ataturk avenue, bannani""","""bannani"""
"""khilkhet nikunja 2 masjid, road 5,nikunja""","""nikunja"""
"""area71 venture limited headquarters, sector 10, uttara""","""uttara"""
"""1017,master para road, senpara parbata, borobagh""","""borobagh"""
"""nafi tower, 53, gulsan avenue, gulsan 1, gulsan""","""gulsan"""
"""zh sikder women,s medical collage, sikder medical rd no.2, sikder estate, hazaribag""","""hazaribag"""
"""shezad palace,gulshan 2,gulshan""","""gulshan"""
"""house 45,road 4,block c,banani,dhaka""","""dhaka"""
"""পেসক্রিপশন এইড,সেক্টর ১২,উত্তরা
""","""উত্তরা"""
"""habiba bhaban,h 510,rs 9,baridhara dohs""","""baridhara dohs"""
"""domestic terminal,new airport road,kurmitola,sector 2,""",""""""
"""express house, block h, banani""","""banani"""
"""rd 1,bkock g,mirpur 1""","""mirpur 1"""
"""dr nadia ferdous,residential area,dhanmondi""","""dhanmondi"""
"""le chateua,gulshan 2,gulshan""","""gulshan"""
"""vhai bon masion,81,kalsi road,section 11""","""section 11"""
"""dutch bangla bank atm,airport road,new airport road,kurmitola,sector`""","""sector`"""
"""11,18,section 10""","""section 10"""
"""basundhara masjid,r4 ,rd 3,block d,basundhara r/a""","""basundhara r/a"""
"""rabbani hotel and resturent 1/1 mirpur rd,begum rokeya sharani,section 6""","""section 6"""
"""popular place,shekhertek,mohammadpur""","""mohammadpur"""
"""airport road,new airport road,kurmitola,sector 2""","""sector 2"""
"""bakshibazar govt. primary school,hussaini dalan road,noorbagh,siddikbazar""","""siddikbazar"""
"""brothers furniture ltd,sector 4,uttara""","""uttara"""
"""luxor,zafrabad,mohammadpur""","""mohammadpur"""
"""dakshin molla tag,bottola,dakshin molla tag,dakshinkhan""","""dakshinkhan"""
"""nandan dewan park,sector 4,uttora""","""uttora"""
"""450/1,west kafrul,mukti housing""","""mukti housing"""
"""rd 19,sector 11,uttara""","""uttara"""
"""vivek majesta,gulshan 2,gulshan""","""gulshan"""
"""h 695/6,rd 11,adabor""","""adabor"""
"""uttar para , khilkhet""","""khilkhet"""
"""airport road , new airport road , kurmitola , sector 2""","""sector 2"""
"""fresco, h 36,north rd,dhanmondi""","""dhanmondi"""
"""gateway overseas education solution , road o3, block b, niketon""","""niketon"""
"""xinxian resturant,sector 1,uttara""","""uttara"""
"""h  5, rd 20, nikunja 2""","""nikunja 2"""
"""banani bridge,gulshan 2,gulshan""","""gulshan"""
"""datacrift limited , residential area , dhanmondi""","""dhanmondi"""
"""16/a,avenue 4,section 11""","""section 11"""
"""playpen, h 271, rd 14, block c, basundhara r/a""","""basundhara r/a"""
"""house 44,road 12b,block e,banani,dhaka""","""dhaka"""
"""75 naya paltan , mosjid goli""","""mosjid goli"""
"""52/3, road 2/1, section 12""","""section 12"""
"""schoolar's school and college , h 63, 71, rd  7/a, dhanmondi""","""dhanmondi"""
"""ibn sina diagnostic & consultation centre, gareeb e nawaz avenue , sector 13, uttara""","""uttara"""
"""herfy,block i,bashundhara r/a""","""bashundhara r/a"""
"""plot 330,rd 14,block a,basundhara r/a""","""basundhara r/a"""
"""sorok 12,basundhara r/a""","""basundhara r/a"""
"""nr tours & travels,sector 4,uttara""","""uttara"""
"""metro properties limited,road 36,gulshan 2,gulshan""","""gulshan"""
"""shohah manzil,ka 86/a,rd 12,baridhara dohs""","""baridhara dohs"""
"""gulev jannat arifabad mahila madrasa, i/10 , arifabad housing road , extended pallabi , mirpur""","""mirpur"""
"""cafe hungry bites,satmasjid rd,jigatala""","""jigatala"""
"""h18,maind rd,south banashree project""","""south banashree project"""
"""heaven salon , 77, road 17a , banani""","""banani"""
"""dutch bangla bank limited,4,shyamoli road no 2,shyamoli complex,shyamoli""","""shyamoli"""
"""emon mahmud, house 1, road 7, block b, rajmoni tower ,nobodoy housing.""","""nobodoy housing."""
"""unique diagnostic center , green road, dhanmondi""","""dhanmondi"""
"""realiance building, h 146, rd 8, block d, bashundhara r/a""","""bashundhara r/a"""
"""73/h/1, shahid buddijibi munir chowdhury road, dhanmondi""","""dhanmondi"""
"""metlife alico (kader agency) uttara , dhaka , sector 7""","""sector 7"""
"""sumon tea store , shyamoli , muhammadpur""","""muhammadpur"""
"""h 662, rd 20, block f, bashundhara r/a""","""bashundhara r/a"""
"""mukta pharmacy,commerce college road,section 2""","""section 2"""
"""dr chadat ullah national school,40/b2,sylheti para road,maneshwar,hazaribag""","""hazaribag"""
"""sheltech sierra,236,new elephant road""","""new elephant road"""
"""khushbu,111,road 4,block c,basundhara r/a""","""basundhara r/a"""
"""apurupa hair style,r k mission rd,gopibag""","""gopibag"""
"""komika nid mahal,423,south paikpara,garden view road,mukti housing,dakshin paikpara""","""dakshin paikpara"""
"""h 8 , rd 30, dhanmondi""","""dhanmondi"""
"""mutual trust bank""","""mutual trust bank"""
"""spicy chicken restaurent, jahurul islam ave, merul badda""","""merul badda"""
"""h 93/1 , rd 8, niketon""","""niketon"""
"""projonmo bus stop,jagannath university,atish deoankar road,moddho bashabo,shhjahanpur""","""shhjahanpur"""
"""nasim enterprise,sector 12,uttara""","""uttara"""
"""bailey vista. h 6,siddhewari ln,siddheswari""","""siddheswari"""
"""amicus,house 8,mymensingh road,paribagh,shahbagh""","""shahbagh"""
"""al amin house, h 8,rd 1 ,block a,banashree""","""banashree"""
"""ratan kutir,h 146/1,new bailey rd""","""new bailey rd"""
"""kohinur general store,h 2/2,mirpur rd,lalmatia""","""lalmatia"""
"""mutual trust bank,airpor road,new airport road,kurmitola,sector 2.""","""sector 2."""
"""house 80,rd 12,sector 10""","""sector 10"""
"""shantinagar bus stop""","""shantinagar bus stop"""
"""tahmina manzil,209/1,195 shantibag road,shantibagh,malibagh""","""malibagh"""
"""dhaka medical hospital 2,zahir raihan sarani,dhaka medical college""","""dhaka medical college"""
"""universal music & time books doctor goli,malibagh""","""malibagh"""
"""ntrenz,mirpur,dohs rd,pallabi""","""pallabi"""
"""kavazo,road 11,block h,banani""","""banani"""
"""projonmo bus stop, jagannath university, atish depankar road, moddho bashabo, shhjahanpur""","""shhjahanpur"""
"""nasim enterprise, sector 12, uttara""","""uttara"""
"""bailey vista, h 6 , siddheswari ln, siddheswari""","""siddheswari"""
"""nawab habibullah model school & college,shahjalal ave,sector 4,uttara""","""uttara"""
"""amicus, house 8, mymensingh road, paribagh, shahbagh""","""shahbagh"""
"""insaf barakah  kidney & general hospital , shahid tajuddin ahmed sarani , mogbazar""","""mogbazar"""
"""al amin house , h8, rd 1, block a, banashree""","""banashree"""
"""al hera jame masjid , pilkhana  rd , azimpur""","""azimpur"""
"""ratan kutir , h 146/1, new baily rd""","""new baily rd"""
"""kohinur general store , h 2/2, mirpur rd, lalmatia""","""lalmatia"""
