,id,original_address,cleaned_address,matched_variation,latitude,longitude,provider
7,9007,"ROAD 12,BANANI","ROAD 12,BANANI","ROAD 12,BANANI, Dhaka, Bangladesh",23.7792728,90.4143312,Nominatim
13,9013,"H 88 DINANATH SEN RD ,  GANDARIA","H 88 DINANATH SEN RD ,  GANDARIA","H 88 DINANATH SEN RD ,  GANDARIA, Dhaka, Bangladesh",23.7975188,90.4166052,OpenCage
25,9025,HOUSE 207 ROAD 03 BLOCK B BASHUNDHARA R/A,HOUSE 207 ROAD 03 BLOCK B BASHUNDHARA R/A,"HOUSE 207 ROAD 03 BLOCK B BASHUNDHARA R/A, Dhaka, Bangladesh",23.7109566,90.4228009,OpenCage
32,9032,"ROAD 12 , BANANI","ROAD 12 , BANANI","ROAD 12 , BANANI, Dhaka, Bangladesh",23.7792728,90.4143312,Nominatim
33,9033,"JAHIR GENERAL STORE,35/B,SALIM UDDIN MARKET RD,SENPARA PARBATA,AHMED NAGAR","JAHIR GENERAL STORE,35/B,SALIM UDDIN MARKET RD,SENPARA PARBATA,AHMED NAGAR","JAHIR GENERAL STORE,35/B,SALIM UDDIN MARKET RD,SENPARA PARBATA,AHMED NAGAR, Dhaka, Bangladesh",23.80503,90.36883,OpenCage
38,9038,"DR. BASIL ANWAR , EYE SPECIALIST AND PHACO SURGEON , JIGATOLA , DHANMONDI","DR. BASIL ANWAR , EYE SPECIALIST AND PHACO SURGEON , JIGATOLA , DHANMONDI",JIGATOLA DHANMONDI,23.7462942,90.37776327388092,Nominatim
39,9039,"HOTEL SARINA DHAKA,KAMAL ATATURK AVENUE,DHAKA","HOTEL SARINA DHAKA,KAMAL ATATURK AVENUE,DHAKA","HOTEL SARINA DHAKA,KAMAL ATATURK AVENUE,DHAKA, Dhaka, Bangladesh",23.7104,90.40744,OpenCage
61,9061,"CARS,MOKARROM BUILDING RD,UNIVERSITY OF DHAKA","CARS,MOKARROM BUILDING RD,UNIVERSITY OF DHAKA","CARS,MOKARROM BUILDING RD,UNIVERSITY OF DHAKA, Dhaka, Bangladesh",23.7104,90.40744,OpenCage
62,9062,"KOWBA LAUNDRY AND DRY CLEANERS,BAITUL AMAN HOUSING SOCIETY,ADABOR","KOWBA LAUNDRY AND DRY CLEANERS,BAITUL AMAN HOUSING SOCIETY,ADABOR",BAITUL AMAN HOUSING SOCIETY ADABOR,23.7709656,90.35648562261473,Nominatim
72,9072,MANIKNAGAR MODEL HIGH SCHOOL,MANIKNAGAR MODEL HIGH SCHOOL,"MANIKNAGAR MODEL HIGH SCHOOL, Dhaka, Bangladesh",23.7221142,90.43467186598878,Nominatim
77,9077,AARONG RD 11 BANANI,AARONG RD 11 BANANI,"AARONG RD 11 BANANI, Dhaka, Bangladesh",23.7901076,90.4107286,Nominatim
79,9079,"BASHUNDHARA  K BLOCK FIELD , DHAKA , BANGLADESH","BASHUNDHARA  K BLOCK FIELD , DHAKA , BANGLADESH","BASHUNDHARA  K BLOCK FIELD , DHAKA , BANGLADESH, Dhaka, Bangladesh",23.7104,90.40744,OpenCage
86,9086,SCIENCE LAB POLICE BOX,SCIENCE LAB POLICE BOX,"SCIENCE LAB POLICE BOX, Dhaka, Bangladesh",23.7388054,90.3832282,Nominatim
90,9090,"CAPITAL SIRAJ CENTER , NEW BAILY RD","CAPITAL SIRAJ CENTER , NEW BAILY RD","CAPITAL SIRAJ CENTER , NEW BAILY RD, Dhaka, Bangladesh",23.74162915,90.41054554160928,Nominatim
91,9091,"ROAD 5,BLOCK D,AFTABNAGAR","ROAD 5,BLOCK D,AFTABNAGAR","ROAD 5,BLOCK D,AFTABNAGAR, Dhaka, Bangladesh",23.761598,90.43124745,Nominatim
92,9092,"TASTY TREAT PANTHAPATH , 44/9 , WEST PANTHAPATH","TASTY TREAT PANTHAPATH , 44/9 , WEST PANTHAPATH","TASTY TREAT PANTHAPATH , 44/9 , WEST PANTHAPATH, Dhaka, Bangladesh",23.7559936,90.3896583,OpenCage
104,9104,"UNIVERSAL MEDICAL COLLEGE HOSPITAL , AIRPORT RD , MOHAKHALI","UNIVERSAL MEDICAL COLLEGE HOSPITAL , AIRPORT RD , MOHAKHALI","UNIVERSAL MEDICAL COLLEGE HOSPITAL , AIRPORT RD , MOHAKHALI, Dhaka, Bangladesh",23.77663255,90.395389435862,Nominatim
105,9105,"CSD MOHAKHALI DOHS,RD 21,MOHAKHALI DOHS","CSD MOHAKHALI DOHS,RD 21,MOHAKHALI DOHS","CSD MOHAKHALI DOHS,RD 21,MOHAKHALI DOHS, Dhaka, Bangladesh",23.7847012,90.3968614,Nominatim
111,9111,"DECENT PASTRY SHOP, RANKIN STREET,WARI","DECENT PASTRY SHOP, RANKIN STREET,WARI","DECENT PASTRY SHOP, RANKIN STREET,WARI, Dhaka, Bangladesh",23.7188783,90.4164219,Nominatim
121,9121,"20/3 , ROAD NO. 1 , MOHAMMADI HOUSING LIMITED , MOHAMMADPUR","20/3 , ROAD NO. 1 , MOHAMMADI HOUSING LIMITED , MOHAMMADPUR","20/3 , ROAD NO. 1 , MOHAMMADI HOUSING LIMITED , MOHAMMADPUR, Dhaka, Bangladesh",23.7613115,90.3535406,Nominatim
124,9124,"ARUN ALO , 79 , SIDDESHWARI ROAD , WIRELESS , PALTAN","ARUN ALO , 79 , SIDDESHWARI ROAD , WIRELESS , PALTAN","ARUN ALO , 79 , SIDDESHWARI ROAD , WIRELESS , PALTAN, Dhaka, Bangladesh",23.73625,90.41426,OpenCage
125,9125,"STANDARD CHARTERED BANK ( SCB ) , 67 ,GULSHAN AVENUE , BANANI , GULSHAN","STANDARD CHARTERED BANK ( SCB ) , 67 ,GULSHAN AVENUE , BANANI , GULSHAN","STANDARD CHARTERED BANK ( SCB ) , 67 ,GULSHAN AVENUE , BANANI , GULSHAN, Dhaka, Bangladesh",23.7840139,90.4166363,Nominatim
133,9133,"IQBAL HOSSAIN CATERING SERVICE , RD 6/A, NOBODOY  HOUSING SOCIETY , MOHAMMADPUR","IQBAL HOSSAIN CATERING SERVICE , RD 6/A, NOBODOY  HOUSING SOCIETY , MOHAMMADPUR",HOUSING SOCIETY MOHAMMADPUR,23.7697872,90.36297351865782,Nominatim
134,9134,"HOUSE 73 ROAD 17A, BLOCK E , BANANI DHAKA","HOUSE 73 ROAD 17A, BLOCK E , BANANI DHAKA","HOUSE 73 ROAD 17A, BLOCK E , BANANI DHAKA, Dhaka, Bangladesh",23.7104,90.40744,OpenCage
135,9135,DHAKA MEDICAL COLLEGE,DHAKA MEDICAL COLLEGE,"DHAKA MEDICAL COLLEGE, Dhaka, Bangladesh",23.7264545,90.3972526,Nominatim
