location,coordinates,latitude,longitude,grid_label
"VASAVI , BIR UTTAM A.K KHANDAKER ROAD , MOHAKHALI GULSHAN","(23.7917, 90.4167)",23.7917,90.4167,R14C9
"SHANTINAGAR RD,SHANTINAGAR","(23.7393386, 90.4150796)",23.7393386,90.4150796,R8C8
"RD 9,SECTOR 4,UTTARA","(23.8705451, 90.398852)",23.8705451,90.398852,R23C7
"171, ROAD 7, SECTION 12","(22.8933377, 91.5339391)",22.8933377,91.5339391,
"RAFFINATO  RESTAURANT ITALIANO , H 9 , RD 36 , GULSHAN 2","(23.7917, 90.4167)",23.7917,90.4167,R14C9
"AD DIN HOSPITAL RD, MOGHBAZAR","(23.65, 90.58)",23.65,90.58,
"ROBI CORPORATE OFFICE , GULSHAN 1","(23.7917, 90.4167)",23.7917,90.4167,R14C9
"ZEON LTD,BHATULIA MOUZA,TURAG","(23.76667, 90.31667)",23.76667,90.31667,
"KING PALACE , H 25/1 , HAZI AFSARUDDIN RD , WEST DHANMONDI","(23.74, 90.385)",23.74,90.385,R8C5
"WASI TOWER , 572/K ECB CHATTAR , MATIKATA , DHAKA CANTONMENT .","(23.82444, 90.40556)",23.82444,90.40556,R18C8
"H 5/1 , TAJMAHAL RD , MOHAMMADPUR","(23.7659, 90.35851)",23.7659,90.35851,R11C3
"H G4S OFFICE,NAYA NAGAR RD,NATUN BAZAR","(25.74442, 88.49186)",25.74442,88.49186,
"JIGATOLA BUS STAND , SATMASJID RD, DHANMONDI","(23.74, 90.385)",23.74,90.385,R8C5
"H 107 NEW,DHANMONDI PARTY CENTER,WEST DHANMONDI","(23.74, 90.385)",23.74,90.385,R8C5
"RAIMENT PARK , SECTOR 3 , UTTARA","(23.8667, 90.4)",23.8667,90.4,R22C7
"BIR UTTAM CR DATTA RD , HATIRPOOL","(23.7406157, 90.3912661)",23.7406157,90.3912661,R8C6
"H 285/2,RD 8/A,DHANMONDI","(23.74, 90.385)",23.74,90.385,R8C5
"RANIMOHOL BOKVANGA ROAD,MAHMUDNAGAR,GREEN MODEL TOWN","(23.7283, 90.4518)",23.7283,90.4518,R7C12
"ARIF GROCERY STORE,ANOWAR JUNG RD,RUSTAMPUR,ASHULIA,1341","(24.3137, 89.6089)",24.3137,89.6089,
"FARID HOSSAIN , BLOCK B , MIRPUR 11","(23.805, 90.366)",23.805,90.366,R16C3
"ROSUN HOTEL , FARMGATE , , TEJGAON","(23.76296, 90.38971)",23.76296,90.38971,R11C6
"STOKE HOME , BORO MOGHBAZAR","(23.65, 90.58)",23.65,90.58,
"jahangir nagar university , savar bangladesh","(24.33724, 89.99715)",24.33724,89.99715,
"SHANTA FORUM , 187 , 188B BIR UTTAM MIR SHAWKAT SARAK , DHAKA-1208","(24.16667, 90.41667)",24.16667,90.41667,
"FLOCKS , 9, ROAD 4, NIKUNJA 2","(23.8296884, 90.4181514)",23.8296884,90.4181514,R18C9
"152,MALA BOKS SORDAR LANE,WIRELESS,MOGBAZAR","(23.7540299, 90.4083456)",23.7540299,90.4083456,R10C8
"HOUSE 10 , ROAD 9 , BLOCK G , BANANI , DHAKA","(24.16667, 90.41667)",24.16667,90.41667,
"10/10 , SIR ALLAMA MUHAMMAD IQBAL ROAD , MOHAMMADPUR","(23.7659, 90.35851)",23.7659,90.35851,R11C3
"NEXUS GROUP , DHAKA CITY BYPASS , 1702","(23.9833, 90.4)",23.9833,90.4,
"EKANTA , H 41/24 , RD 1 , MOHAMMADPUR","(23.7659, 90.35851)",23.7659,90.35851,R11C3
"CELEBRITY CONVENTION HALL , GULSHAN 1, GULSHAN","(23.7806235, 90.4135268)",23.7806235,90.4135268,R13C8
"AMARI DHAKA , RD 41 , GULSHAN 2 , GULSHAN","(23.7917, 90.4167)",23.7917,90.4167,R14C9
"RD 4 , MOHAMMADI HOUSING SOCIETY , MOHAMMADPUR","(23.7659, 90.35851)",23.7659,90.35851,R11C3
"JUMMAN ELECTRIC , TOLARBAGH , MIRPUR 1","(23.805, 90.366)",23.805,90.366,R16C3
"ANIMATIC VIDEO - ANIMATION STUDIO IN BANGLADESH , GULSHAN 1","(23.7917, 90.4167)",23.7917,90.4167,R14C9
"THE BEST STEAK AND POTATO,H 2,9,BLOCK C,MIRPUR 10","(23.805, 90.366)",23.805,90.366,R16C3
"MY HOME SWAPNO NEER , SECTOR 13 , UTTARA","(23.8667, 90.4)",23.8667,90.4,R22C7
"RD 6 , MOHAMMADIA HOUSING LTD , MOHAMMADPUR","(23.7659, 90.35851)",23.7659,90.35851,R11C3
"SHANTO FOOD CORNER, GOLARTEK MASJID RD , PALPARA , GABTOLI","(24.58189, 88.2967)",24.58189,88.2967,
"BANGLADESH-CHINA FRIENDSHIP EXHIBITION CENTER , SECTOR 21 , PURBACHAL","(23.8426962, 90.5338706)",23.8426962,90.5338706,
"SM KHALED'S HOME, BL;OCK H , BANANI","(47.50438, 7.70444)",47.50438,7.70444,
"DORIAN , BEGUM ROKEYA SARANI , WEST SHEWRAPARA","(23.7858354, 90.3775592)",23.7858354,90.3775592,R13C5
"16/1, BLOCK C, TAJMAHAL ROAD , MOHAMMADPUR","(23.7640513, 90.3625579)",23.7640513,90.3625579,R11C3
"CHONDRIMA NURSERY , SECTION 1 , MIRPUR","(23.805, 90.366)",23.805,90.366,R16C3
"POLICE PLAZA CONCORD SHOPPING MALL  , GULSHAN 1","(23.7917, 90.4167)",23.7917,90.4167,R14C9
"41/3,JOHURI MOHOLLA,BLOCK F,MOHAMMADPUR","(23.7710116, 90.3632691)",23.7710116,90.3632691,R12C3
"H 1/36, BABAR RD , METROPOLITAN COOPERATIVE HOUSING SOCIETY, MOHAMMADPUR","(23.7659, 90.35851)",23.7659,90.35851,R11C3
"DUTCH EMBASSY , GULSHAN 2, GULSHAN","(23.7917, 90.4167)",23.7917,90.4167,R14C9
"HOT CAKE , SHAMOLY CINEMA HALL COMPLEX , RING ROAD MOHAMMADPUR","(23.7659, 90.35851)",23.7659,90.35851,R11C3
"ASA UNIVERSITY BANGLADESH , KHILJI RD , SHYAMOLI","(23.7732003, 90.3666007)",23.7732003,90.3666007,R12C3
"ma pharmacy , sector 9 , uttara","(23.8667, 90.4)",23.8667,90.4,R22C7
"EMMANUELLES CONVENTION CENTER,RESIDENTIAL AREA,DHANMONDI","(23.74, 90.385)",23.74,90.385,R8C5
"BAISHTEKI CENTRAL JAME MASJID , SECTION 13 , MIRPUR","(23.805, 90.366)",23.805,90.366,R16C3
"BDM HOSPITAL,H 5/17,HUMAYUN RD,BIHARI CAMP BAZAR","(25.74442, 88.49186)",25.74442,88.49186,
"INTER CONTINENTAL DHAKA HOTEL, SHAHBAG","(23.738, 90.4)",23.738,90.4,R8C7
"28 , ROAD 16 , NIKUNJA 2","(23.8339024, 90.4164755)",23.8339024,90.4164755,R19C9
"BALUR MATH , BASABO","(23.738195, 90.4306125)",23.738195,90.4306125,R8C10
