location,coordinates,latitude,longitude,geometry,grid_label
"VASAVI , BIR UTTAM A.K KHANDAKER ROAD , MOHAKHALI GULSHAN","(23.7917, 90.4167)",23.7917,90.4167,POINT (90.4167 23.791700000000002),R21C22
"SHANTINAGAR RD,SHANTINAGAR","(23.7393386, 90.4150796)",23.7393386,90.4150796,POINT (90.41507960000001 23.739338599999993),R20C22
"RD 9,SECTOR 4,UTTARA","(23.8705451, 90.398852)",23.8705451,90.398852,POINT (90.398852 23.870545100000008),R23C22
"1/X , ROAD NO 9 , BASHUDNHARA R/A","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"FRESH MEADOW,H 362,RD 5,ADABOR","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"171, ROAD 7, SECTION 12","(22.8933377, 91.5339391)",22.8933377,91.5339391,POINT (91.5339391 22.8933377),R1C45
"SHUKTARA,BLOCK D,BASUNDHARA R/A","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"RAFFINATO  RESTAURANT ITALIANO , H 9 , RD 36 , GULSHAN 2","(23.7917, 90.4167)",23.7917,90.4167,POINT (90.4167 23.791700000000002),R21C22
"SHIMANTO SQUARE,RESIDENTIAL AREA,DHAMONDI","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"AD DIN HOSPITAL RD, MOGHBAZAR","(23.65, 90.58)",23.65,90.58,POINT (90.58 23.650000000000002),R18C26
"ROBI CORPORATE OFFICE , GULSHAN 1","(23.7917, 90.4167)",23.7917,90.4167,POINT (90.4167 23.791700000000002),R21C22
"ortho dental care 67/d , road 11 banani","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"ZEON LTD,BHATULIA MOUZA,TURAG","(23.76667, 90.31667)",23.76667,90.31667,POINT (90.31667 23.766669999999998),R20C20
"KING PALACE , H 25/1 , HAZI AFSARUDDIN RD , WEST DHANMONDI","(23.74, 90.385)",23.74,90.385,POINT (90.385 23.739999999999995),R20C22
"ROAD 18 , KURMITOLA , SECTOR 5","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"HOSUE 644 , ROAD 9 , BLOCK I , BASHUDNHARA R/A","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"REDICAL HOSPITAL,SHAH MAKHDUM AVE,SECTOR 12","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"KALLYANPUR BUS STAND,MIRPUR RD,KHAJA SUPER MARKET","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"H 22/3 , FREE SCHOOL ST , HATIRPOOL","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"WASI TOWER , 572/K ECB CHATTAR , MATIKATA , DHAKA CANTONMENT .","(23.82444, 90.40556)",23.82444,90.40556,POINT (90.40556 23.824439999999996),R22C22
"THIKANA,K-1/B,LICHU BAGAN RD,JOAR SHAKARA","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
