"","location"
"4416","132 , ROAD NO. 4 , BASUNDHARA R/A"
"4417","AMTOLA BAZAR, 60 FEET, MIRPUR 2"
"4418","NIKETAN BAZAR BRD 8 , NIKEAN"
"4419","BANGLADESH -CHINA FRIENDSHIP EXHIBITION CENTER , SECTOR 21 , PURBACHAL"
"4420","HAZRAT SHAHJALAL INTERNATIONAL AIRPORT , TERMINAL 2 , AIRPORT ROAD , NEW AIRPORT ROAD , KURMITOLA SECTOR 2"
"4421","DHAKA BOAT CLUB LIMITED , MIRPUR RD , BIRULIA , SAVAR"
"4422","HOUSING STATTE PLAYGROUND 2, DARUS SALAM RD , MIRPUR 1"
"4423","HAZRAT SHAH JALAL INTERNATIONAL AIRPORT,TERMINAL 1,AIRPORT ROAD ,NEW AIRPORT ROAD,KURMITOLA,SECTOR 2"
"4424","AIRPORT RENT A CAR SERVICE , HAZRAT SHAHJALAL INTERNATIONAL AIRPORT KURMITOLA"
"4425","BAITUL AMAN MASJID"
"4426","SAVAR THANA BUS STOP , DHAKA ARICHA HIGHWAY , NOBINAGAR , 1340"
"4427","SAHGON COMMUNITY CENTER, NUR FATEH LN , LALBAGH"
"4428","GRAMEENPHONE CENTER , HAZRAT SHAHJALAL INTERNATIONAL AIRPORT , KUMITOLA"
"4429","H 550,RD 10,ADABOR"
"4430","RD 6,BLOCK B,BASUNDHARA R/A"
"4431","ROBO SAPIENS PRODUCTION , BLOCK D, NIKETON"
"4432","SUPERKID STORE , EASTERN PALLABI , MIRPUR 13"
"4433","NADDA MOROL BARI BAZAR , SHAHID  FAZLUL HAQUE RD , NADDA"
"4434","MEENA BAZAR , ROAD 27 ( NEW 16 ) , DHANMONDI R/A"
"4435","FORING , H 25/11, TAJMAHAL RD , MOHAMMADPUR"
"4436","ALOKI, TEJGAON LINK ROAD , NIKETON, GULSHAN"
"4437","CHANDRIMA KAC HA BAZAR , ROAD 05 , BLOCK , A"
"4438","BIJOY RAKEEN CITY"
"4439","AHSANULLAH UNIVERSITY OF SCIENCE & TECHNOLOGY,LOVE RD,TEJGAON"
"4440","EMBASSY OF GREECE , RD 129, GULSHAN 1"
"4441","HOTEL DE MARIDIAN & RESTURANT,ROAD 10,SECTOR 6,UTTARA"
"4442","5B UNITED NATIONS ROAD , A2 , BARIDHARA"
"4443","DUTCH BANGA BANK SUB BRANCH,UTTARPARA,KHILKHET"
"4444","BONOMALA ROAD , TONGI"
"4445","BISBILLAH CHIKEN HOUSE , IBRAHIMPUR , KOCHUKHET"
"4446","ZH SIKDER WOMEN'S MEDICAL COOLEGE , SIKDER MEDICAL RD NO.2 , SHIKDER ESTATE , HAZARIBAG"
"4447","GREEN MEHER TOWER , GULSHAN 02 , GULSHAN 2 , GULSHAN"
"4448","CHEEZ MIRPUR , BLOCK B , MIRPUR 6"
"4449","AL ARABIA MASJID & MADRASA COMPLEX,RD 5,ARAMBAG R/A,MIRPUR 7"
"4450","BARIDHARA GENERAL HOSPITAL , KA 54/1 , KALACHANDPUR MAIN RD , KALACHANDPUR"
"4451","210/1, SHANTIBAGH RD , SAHANTIBAGH , MALIBAGHJ"
"4452","mayeems , h 9/b , rd 3 , gulshan 1"
"4453","286, D BLOCK 9 NO ROAD , BLOCK D, BASHUNDHARA R/A"
"4454","KHILKHET BOTTOLA MOR"
"4455","HOUSE 261/3/A, WEST MANIKDI ROAD, MANJIL HOUSING MANIKDI"
"4456","MOHAMMADPUR KRISHI MARKET,SHYAMOLI"
"4457","SALAM TEA STORE , RESIDENTIAL AREA , DHANMONDI"
"4458","UDAYAN UCCHA MADDHOMIK BIDYALOYA FULLER RD , UNIVERSITY  OF DHAKA"
"4459","DTD IT SUPPORT,DHAKA ARICHA HIGHWAY,NOBINAGAR 1340"
"4460","NOBINAGAR , SAVAR"
"4461","CURZON HALL"
"4462","81, ROAD 11 , BANANI"
"4463","MINI BALCONY RAZIA SULTANA ROAD MOHAMMADPUR"
"4464","SONALI BANK PLC , SECTOR 4 , UTTARA"
"4465","POLY DENTAL , GAREEB E NAWAZ AVENUE , SECTOR 11 , UTTARA"
"4466","HAWLADER GENERAL STORE,MIYAJUDDIN SQUARE RD,SIDDHIRGANJ,NARAYANGANJ"
"4467","NAMAPARA  , BASUNDHARA R/A"
"4468","M/S BISMILLAH TRADERS,MAZAR RD,1ST COLONY,DARUS SALAM"
"4469","HOUSE-45, ROAD 11 , SECTOR - 13 , UTTARA"
"4470","BANGLADESH EYE HOSPITAL , SAT MASJID RD , DHANMONDI"
"4471","LAB AID SPECIALIZED HOSPITA,HOUSE 6,ROAD 4,DHANMONDI"
"4472","RD 16 , BLOCK H , GUDARA GHAT , MIRPUR 1"
"4473","FATEMA KATEZ , H 53/2/A , DINANATH SEN RD , DAYAGANJ"
"4474","BROAST CAFE , SECTOR - 13 , UTTARA"
"4475","MA BUILDING & FURNITURE , SHARIFPUR RD , 1711"
"4476","H 6/5, SHER E BANGLA RD, MOHAMMADPUR"
"4477","DUTCH BANGLA BANK , 262 263 , AL HAJ ABDUS SOBHAN ROAD , BLOCK B , BASUNDHARA R/A"
"4478","FULBARIA SUPER MARKET JAME MASJID"
