"KRYPTON IT SERVICES,RAINKHOLA,MIRPUR 1","(23.805, 90.366)"
"BAKHARKHANIR DOKAN,ABDULLAHPUR,ATIPARA RD,SECTOR 8,UTTARA","(23.8667, 90.4)"
"tritech building services ltd block i bashundhara r/a",""
"DISCOVERY , GULSHAN 1","(23.7917, 90.4167)"
"KAMALAPUR RD,MOTIJHEEL,KOMLAPUR","(23.2811035, 88.9653649)"
"PRIME SWEATER,DHAKA CITY BYPASS,1711","(24.0907, 90.4878)"
"FAKIRAPOOL , PANIR TANK , FAKIRAPOOL","(23.7323405, 90.4156932)"
"BRTA, DIYA BARI , UTTARA","(23.8667, 90.4)"
"22,ROAD 47,GULSHAN 2,GULSHAN","(23.7923859, 90.4115031)"
"SADMA FASHION LTD,DHAKA TANGAIL HIGHWAY,MOUCHAK,1751","(24.0333, 90.2833)"
"SHERATON DHAKA KEMAL ATATRUK , AVENUE , BANANI","(23.7950943, 90.4145779)"
"FAKHRUDDIN RESTAURANT , H 384, SHAHID TAZUDDIN AHMED AVE , MOGBAZAR","(23.7543737, 90.4095996)"
"MERAJ NAGAR,DHAKA,BANGLADESH","(24.16667, 90.41667)"
"LABAID SPECICALIZED HOSPITAL 6 , ROAD 4 , DHANMONDI","(23.74, 90.385)"
"SKY CHEF,SECTOR 13,UTTARA","(23.8667, 90.4)"
"H 38/1 , DILU RD , NEW ESKATON","(23.7501463, 90.3999498)"
"RD 9 , SECTOR 4 , UTTARA","(23.8705451, 90.398852)"
"RD 16 , ADAMJEE SHIDDHIRGANJ , NARYANGANJ , 1430","(23.7219, 90.5789)"
"BORO BARI SHAHI JAME MASJID , BORO BARI MOSQUE RD , 1711","(24.0907, 90.4878)"
"NAWABGANJ , DHAKA","(23.6605166, 90.1604757)"
"H 44, TOYENBEE CIRCULAR RD , FAKIRAPOOL","(23.7331201, 90.4172013)"
"SAIF HOUSE,WEST BHASHANTEK",""
"rahimaladies tailors , 114 , mostofa road , tejgaon","(23.76296, 90.38971)"
"DOCTORS VIEW PHYSIOTHERAPY , H 75 , SATMASJID RD , JIGATALA","(25.15867, 89.66515)"
"PROMINENT HOUSING,ROAD NO 3,SHEKHERTEK","(23.7704607, 90.3514987)"
"ABACUS CONVENTION CENTRE , ESKATON GARDEN ROAD","(23.7451575, 90.3996963)"
"HOUSE 62 , PARK ROAD , BLOCK K , BARIDHARA","(23.80254, 90.42117)"
"BRTCI BUS TERMINAL,KAMALAPUR RD,MOTIJHEEL,KOMLAPUR","(23.2811035, 88.9653649)"
"HUNGRY EYES FOOD CORNER",""
"TRACK INNOVATIVE TECHNOLOGIES,ROAD 91,GULSHAN 2,GULSHAN","(23.7917, 90.4167)"
"DHAKA ANTORJATIK BANIJJO MELA , SECTOR 4 , PURBACHAL","(23.8426962, 90.5338706)"
"VIRTUAL WORLD VISION , SHANTINAGAR , KAKRAIL","(23.73333, 90.4)"
"SHYAMOLI BUS STOP MIRPUR RD SHYAMOLI","(23.77438, 90.36538)"
"ice n sugar block m , banasree","(23.7617123, 90.4312774)"
"ARMED POLICE BATTALION HEADQUARTERS , SECTOR 2, UTTARA","(23.8556773, 90.4050645)"
"265 NIJHUM HOME , ROAD 32 , MOHAKHALI DOHS , NIKETAN","(23.7847012, 90.3968614)"
"NAZIMUDDIN RD , NIMTOLI",""
"BANGLADESH MEDICAL,SONARGAON JANAPATH RD,SECTOR 9,UTTARA","(23.8667, 90.4)"
"BANGABANDHU SHEIKH MOJIB MEDICAL UNIVERSITY,PG HOSPITAL,BLOCK C,HABIBULLAH RD,SHAHBAG","(23.738, 90.4)"
"UNIMART , GULSHAN 2 , GULSHAN 
","(23.7960525, 90.4150106)"
"EMPRESS MANOR,H 21,RD 1,BANANI","(23.7915075, 90.3985758)"
"RANCON DEVELOPMENTS LIMITED , GULSHAN 1 , GULSHAN","(23.7917, 90.4167)"
"HOTEL DHAKA GOLDEN INN, BLOCK  K , BANANI","(23.790321, 90.4076959)"
"ENTRY GATE FOR RD 5 , H 8, 9, 13, RD 3 , BLOCK J","(23.8227827, 90.4425682)"
"HAZRAT SHAHJALAL INTERNATIONAL  AIRPORT, TERMINAL 1, AIRPORT ROAD , NEW AIRPORT ROAD , KURMITOLA , SECTOR 2","(43.99329, -107.94926)"
"ROAD 2,SECTOR 4,UTTARA","(23.8661791, 90.3992613)"
"LE MERIDIEN DHAKA,AIRPORT RD,NIKUNJA 2","(23.8359062, 90.418955)"
"DUMNI HIGH SCHOOL , PURBACHAL EXPRESS HIGHWAY , BASHUNDHARA R/A","(23.8166725, 90.4294266)"
"BLOCK C,BANASHREE","(24.4750917, 91.7776231)"
"BIRTH CERTIFICATE HELPLINE , KEMAL ATATRUK AVENUE , BANANI","(23.790321, 90.4076959)"
"HAZRAT SHAHJALAL INTERNATIONAL AIRPORT , TERMINAL 1 , KURMITOLA , SECTOR 2","(23.8251851, 90.4057949)"
"H 286, AFTAB UDDIN AHMED RD , BLOCK B , BASHUNMDHARA R /A","(38.5, -0.5)"
"BARIKOL HEAD OFFICE , PALLABI , MIRPUR","(23.805, 90.366)"
"SEAS SHELL PICNIC SPOT,PURBACHAL EXPRESS HIGHWAY,RUPGANJ,
NARAYANGANJ","(23.61352, 90.50298)"
"BANGLADESH EYE HOSPITAL MALIBAGH LTD, MALIBAGH MOR , MALIBAGH","(23.7441919, 90.4142455)"
"BFC , GULSHAN 2 , GULSHAN","(23.7958211, 90.4169842)"
"LAB AID HOPSITAL RD 4 DHANMONDI","(23.74, 90.385)"
"144 , LINE 5 , SECTION 11","(22.8933377, 91.5339391)"
"BANGLADESH VIETNAM CHAMBER OF COMMERCE & INDUSTRY ( BVCCI ), INDUSTRIAL AREA","(31.5082, 34.45641)"
"GULSHAN PINK CITY SHOPPING COMPLEX, GULSHAN 2","(23.7917, 90.4167)"
"ANIK VARIETIES STORE MIR HAZIRBAGH JATRABARI","(24.98797, 90.90801)"
"HOUSE 106 , ROAD 3 , BLOCK F , BANANI , DHAKA","(24.16667, 90.41667)"
"SHOTORUPAR RANNAGHOR , DILUROAD , NEW ESKATON","(23.7472147, 90.3980307)"
" h 1099 bindu britto 
goli east shewrapara ",""
"HELP-US DRUGS ADDICTION TREATMENT CENTRE , SECTOR 3 , UTTARA","(23.8667, 90.4)"
"H 32 RD 12 SOUTH BANASREE PROJECT",""
"HUNGRY FAST FOOD , H 9 , 113 A , GULSHAN 1","(23.7917, 90.4167)"
"NEW SHOWON FURNITURE , H 423/E , RD 2 ADABOR","(23.7670567, 90.3583818)"
"ISLAMI BANK LIMITED,HOUSE 260,AL HAJ ABDUS SOBHAN ROAD,BLOCK B,BASHUNDHARA R/A","(53.35222, -7.20167)"
"NAYANAGAR JAME MASJID , NAYANAGAR , KHILKHET","(23.8316678, 90.4248321)"
"AWAL MEDICINE CORNER,HOUSE 35,ROAD 5,BLOCK A,BANASREE,DHAKA","(24.16667, 90.41667)"
