"location","formatted_address","latitude","longitude"
"""I CARE COMPUTER SYSTEM , HOUSE 41/2/E/3 , HARI CHARAN RAY ROAD , FARIDABAD , GENDARIA , DHAKA 1204""","","",""
"""H 366/6, RD 6, BARIDHARA DOHS""","Bangladesh","24.0","90.0"
"""NEW JANANI ENGINEERING WORKSHOP , NABI NAGAR HOUSING , MOHAMMADPUR""","Mohammadpur, Bangladesh","23.7659","90.35851"
"""G. PRASANTY , 10, ROAD 3 , MUKTI HOUSING , KALLYANPUR""","Bangladesh","24.0","90.0"
"""AIRPORT ROAD , NEW AIRPORT ROAD, KURMITOLA N, SECTOR 2""","Bangladesh","24.0","90.0"
"""north shyamoli""","Kallyanpur, Dhaka - 1916, Bangladesh","23.7784144","90.3654452"
"""dewanbag""","Babe Nur' Dewanbag Darbar Sharif 'বাবে নূর' দেওয়ানবাগ দরবার শরীফ, Airport Road, Rajshahi District, - 6203, Bangladesh","24.403494","88.6075937"
"""westy jatrabari""","Jātrābāri, Bangladesh","24.98797","90.90801"
"""shahjahanpur""","Shahjahanpur, Dhaka - 1217, Bangladesh","23.7407406","90.4240134"
"""sher e bangla nagar""","Sher-E-Bangla Nagar, Dhaka - 1207, Bangladesh","23.7741959","90.3754853"
"""new airport road""","New Airport Road, Khilkhet, Dhaka - 1229, Bangladesh","23.8398867","90.4172633"
"""new easkaton""","Bangladesh","24.0","90.0"
"""kamalapur""","Kamalapur, Outer Circular Road, Dhaka - 1203, Bangladesh","23.7325123","90.4257424"
"""wari""","Wari, Dhaka - 1203, Bangladesh","23.7186574","90.4153989"
"""ramna""","Ramna, Dhaka - 1000, Bangladesh","23.7398559","90.4022658"
"""sarkari karmachari hospital""","Bangladesh","24.0","90.0"
"""mirpur - 2""","Mirpur, Dhaka - 1216, Bangladesh","23.8050427","90.3585246"
"""nandipara basabo""","Islami Bank Bangladesh Limited, Bashabo Branch, Bashabo-Madartek Road, Bashabo, Dhaka - 1214, Bangladesh","23.7403862","90.4326774"
"""road to be named""","Bangladesh","24.0","90.0"
"""basunmdhara r/a""","Bangladesh","24.0","90.0"
"""shanta garden""","Bangladesh","24.0","90.0"
"""shhajahanpur""","Bangladesh","24.0","90.0"
"""kakrail""","Segunbagicha, Dhaka - 1000, Bangladesh","23.7385398","90.4071475"
"""eska""","Bangladesh","24.0","90.0"
"""rustampur""","Rustampur, Faridganj Upazila, Bangladesh","23.099416","90.7894818"
