location,area
"""""""LUXOR,ZAFRABAD,MOHAMMADPUR""""""",Mohammadpur
"""""""LUXOR,ZAFRABAD,MOHAMMADPUR""""""",Mohammadpur
"""""""BAKSHIBAZAR GOVT. PRIMARY SCHOOL,HUSSAINI DALAN ROAD,NOORBAGH,SIDDIKBAZAR""""""",Lalbagh
"""The Asgar Show, Sector 4, Uttara""",Uttara
"""Koyla Restaurant Link Road, Gulshan 1""",Gulshan
"""AREA71 VENTURE LIMITED HEADQUARTERS, SECTOR 10, UTTARA""",Uttara
"""Peyaia Cafe, Kemal Ataturk Avenue, Banani""",Banani
"""Khilkhet Nikunja 2 Masjid, Road 5, Nikunja""",Nikunja
"""Area71 Venture Limited Headquarters, Sector 10, Uttara""",Uttara
"""1017, Master Para Road, Senpara Parbata, Borobagh""",Mirpur
"""Nafi Tower, 53, Gulshan Avenue, Gulshan 1, Gulshan""",Gulshan
"""ZH Sikder Women's Medical College, Sikder Medical Rd No.2, Sikder Estate, Hazaribagh""",Hazaribagh
"""Shezad Palace, Gulshan 2, Gulshan""",Gulshan
"""House 45, Road 4, Block C, Banani, Dhaka""",Banani
"""পেসক্রিপশন এইড, সেক্টর ১২, উত্তরা""",Uttara
"""Habiba Bhaban, H 510, Rs 9, Baridhara DOHS""",Baridhara
"""Domestic Terminal, New Airport Road, Kurmitola, Sector 2""",Kurmitola
"""Express House, Block H, Banani""",Banani
"""RD 1, Block G, Mirpur 1""",Mirpur
"""Dr Nadia Ferdous, Residential Area, Dhanmondi""",Dhanmondi
"""Le Chateau, Gulshan 2, Gulshan""",Gulshan
"""Vhai Bon Mansion, 81, Kalsi Road, Section 11""",Mirpur
"""Dutch Bangla Bank ATM, Airport Road, New Airport Road, Kurmitola, Sector 11""",Kurmitola
"""Bashundhara Masjid, R4, RD 3, Block D, Bashundhara R/A""",Bashundhara
"""Rabbani Hotel and Restaurant 1/1 Mirpur Rd, Begum Rokeya Sharani, Section 6""",Mirpur
"""Popular Place, Shekhertak, Mohammadpur""",Mohammadpur
"""Bakshibazar Govt. Primary School, Hussaini Dalan Road, Noorbagh, Siddikbazar""",Lalbagh
"""Brothers Furniture Ltd, Sector 4, Uttara""",Uttara
"""LUXOR, Zafrabad, Mohammadpur""",Mohammadpur
"""Dakshin Molla Tag, Bottola, Dakshin Molla Tag, Dakshinkhan""",Dakshinkhan
"""Nandan Dewan Park, Sector 4, Uttara""",Uttara
"""450/1, West Kafrul, Mukti Housing, RD 19, Sector 11, Uttara""",Uttara
"""Vivek Majesta, Gulshan 2, Gulshan""",Gulshan
"""H 695/6, RD 11, Adabor""",Adabor
"""Uttar Para, Khilkhet""",Khilkhet
"""Airport Road, New Airport Road, Kurmitola, Sector 2""",Kurmitola
"""Fresco, H 36, North Rd, Dhanmondi""",Dhanmondi
"""Gateway Overseas Education Solution, Road 03, Block B, Niketon""",Niketon
"""Xinxian Restaurant, Sector 1, Uttara""",Uttara
"""H 5, RD 20, Nikunja 2""",Nikunja
"""Banani Bridge, Gulshan 2, Gulshan""",Gulshan
"""Datacrift Limited, Residential Area, Dhanmondi""",Dhanmondi
"""16/A, Avenue 4, Section 11""",Mirpur
"""Playpen, H 271, RD 14, Block C, Bashundhara R/A""",Bashundhara
"""House 44, Road 12B, Block E, Banani, Dhaka""",Banani
"""75 Naya Paltan, Mosjid Goli""",Paltan
"""52/3, Road 2/1, Section 12""",Mirpur
"""Scholar's School and College, H 63, 71, RD 7/A, Dhanmondi""",Dhanmondi
"""Ibn Sina Diagnostic & Consultation Centre, Gareeb E Nawaz Avenue, Sector 13, Uttara""",Uttara
"""Herfy, Block I, Bashundhara R/A""",Bashundhara
"""PLOT 330, RD 14, BLOCK A, BASUNDHARA R/A""",Bashundhara
"""SOROK 12, BASUNDHARA R/A""",Bashundhara
"""NR TOURS & TRAVELS, SECTOR 4, UTTARA""",Uttara
"""METRO PROPERTIES LIMITED, ROAD 36, GULSHAN 2, GULSHAN""",Gulshan
"""SHOHAH MANZIL, KA 86/A, RD 12, BARIDHARA DOHS""",Baridhara
"""GULEV JANNAT ARIFABAD MAHILA MADRASA, I/10, ARIFABAD HOUSING ROAD, EXTENDED PALLABI, MIRPUR""",Mirpur
"""CAFE HUNGRY BITES, SATMASJID RD, JIGATALA""",Jigatola
"""H18, MAIN RD, SOUTH BANASHREE PROJECT""",Banasree
"""HEAVEN SALON, 77, ROAD 17A, BANANI""",Banani
"""DUTCH BANGLA BANK LIMITED, 4, SHYAMOLI ROAD NO 2, SHYAMOLI COMPLEX, SHYAMOLI""",Shyamoli
