Request time,Request Date,Trip Earnings,Fare,Safety Coverage Fee,Waiting Fee,Pickup Bonus,Discount,Surge,Pathao Net Commission,Pathao will Pay,You will Pay,Pickup Point,Destination Point,Distance,Duration,Trip Type,Pickup Area
4:00:00 PM,11/12/2004,437,418.18,5,0.0,0,80,41.82,23,52,,"the asgar show, sector 4,uttara",Star Kabab & Restaurant,11.42,38,Prime,Uttara
5:45:00 PM,11/12/2024,417.05,381.74,5,0.0,0,80,57.26,21.95,53.05,,"koyla restaurant link.r0ad, gulshan 1","Notun Bazar Bus Stop, Vatara Rd, Notun Bazar, Vatara",6.57,44.8,Prime,Gulshan
9:46:00 AM,11/16/2024,696.35,666.36,5,0.0,0,0,66.64,36.65,38.35,,"area71 venture limited headquarters,sector 10,uttara","KAKRAIL MAJID,KAKRAIL RD,KAKRAIL",19.98,52,Prime,Uttara
7:36:00 PM,11/12/2024,416.1,438,2,0.0,0,100,0,21.9,76.1,0,"peyaia cafe, kemal ataturk avenue, bannani","Road 6,Nikunja 2,Badda",8,52,Plus,
8:45:00 PM,11/12/2024,306.85,332,2,20.0,0,0,0,16.15,18.15,0,"khilkhet nikunja 2 masjid, road 5,nikunja",Airport Rail Station,6.17,21.1,Plus,
9:46:00 PM,11/16/2024,696.35,666.36,5,0.0,0,80,66.36,36.65,0,38.35,"area71 venture limited headquarters, sector 10, uttara","Kakrail Masjid, Kakrail Rd, kakrail",19.98,52,Prime,Uttara
12:28:00 PM,11/17/2024,375.25,376.19,5,0.0,0,70,18.81,19.75,0,45.25,"1017,master para road, senpara parbata, borobagh","Mirpur Dohs  Central Masjid, Mirpur Dohs Main Rd, Mirpur Dohs",4.42,27.9,Prime,
12:51:00 PM,11/16/2024,468.35,469.52,5,0.0,0,80,23.48,24.65,0,50.35,"nafi tower, 53, gulsan avenue, gulsan 1, gulsan","National Bank Public School And Collage, Rayer Bazar, Mohammadpur",10.31,47.1,Prime,
2:02:00 PM,11/16/2024,312.55,329,2,0.0,0,99.3,0,16.45,0,80.85,"zh sikder women,s medical collage, sikder medical rd no.2, sikder estate, hazaribag","Rashaed General Store, Buddhijibi Shahid Minar Rd, Gabtali",8.4,31.4,Plus,
11:22:00 PM,11/17/2024,373.23,342.73,5,0.0,0,70,34.27,3.77,61.23,0,"shezad palace,gulshan 2,gulshan","Sheltech Apartments,450,Greenway Road, Wireless, Mogbazar",7.7,25.1,Prime,Gulshan
10:26:00 PM,11/17/2024,516.78,474.55,5,0.0,0,70,47.45,5.22,59.78,0,"house 45,road 4,block c,banani,dhaka","Global Vision, Plot 1,Road 8,Baridhara J Block,Dhaka,Bangladesh",11.62,39.7,Prime,
9:40:00 PM,11/17/2024,424.71,429,2,0.0,0,70,0,4.29,63.71,0,"পেসক্রিপশন এইড,সেক্টর ১২,উত্তরা
","Matikata Bazar,Matikata Bazar Rd,Matikata",12.41,35.6,Plus,
8:45:00 PM,11/17/2024,483.12,443.64,5,0.0,0,70,44.36,4.88,60.12,0,"habiba bhaban,h 510,rs 9,baridhara dohs","H 7,Rd 14,sector 14,Uttara",9.47,44.6,Prime,
8:09:00 PM,11/17/2024,443.52,407.27,5,0.0,0,70,40.73,4.48,60.52,0,"domestic terminal,new airport road,kurmitola,sector 2,","H Ka 25,Kalachandpur Main Rd,Kalachandpur",6.6,52.3,Prime,
5:20:00 PM,11/19/2024,465.5,466.67,5,0.0,0,70,23.33,24.5,40.5,0,"express house, block h, banani","lalbagh fort,lalbagh rd,lalbag",10.31,46.1,Prime,Banani
3:01:00 PM,11/17/2024,300.2,300.95,5,0.0,0,70,15.05,15.8,49.2,0,"rd 1,bkock g,mirpur 1","ROAD NEW 01,MIRPUR DOHS,MIRPUR 12",5.49,27,Prime,
11:20:00 AM,11/17/2024,261.53,275.29,2,0.0,0,66.55,0,13.77,50.79,0,"dr nadia ferdous,residential area,dhanmondi","MIZAN TOWER,KALLYANPUR",3.05,51.8,Plus,Dhanmondi
9:21:00 AM,11/17/2024,460.75,440.91,5,0.0,0,0,44.09,24.25,0,29.25,"le chateua,gulshan 2,gulshan","BAYS PARK HEIGHTS,RESIDENTIAL AREA,DHANMONDI",9.82,53.8,Prime,Gulshan
7:37:00 AM,11/17/2024,408.5,430,2,0.0,0,0,0,21.5,0,23.5,"vhai bon masion,81,kalsi road,section 11","LAKESHORE HEIGHTS,GULSHAN 1,GULSHAN",10.88,45,Plus,
3:29:00 PM,11/16/2024,458.85,483,2,0.0,0,110,0,24.15,83.85,0,"dutch bangla bank atm,airport road,new airport road,kurmitola,sector`","1/1,ROAD 03,SECTION 2",17.21,57.1,Plus,
2:49:00 PM,11/16/2024,342.95,361,2,0.0,0,121.61,0,18,101.56,0,"11,18,section 10","DOMESTIC TERMINAL (DAC),HAZRAT SHAHJALAL,INTERNATIONAL AIRPORT",10.89,35,Plus,
1:52:00 PM,11/16/2024,416.1,438,2,0.0,0,132,0,21.9,108.1,0,"basundhara masjid,r4 ,rd 3,block d,basundhara r/a","DHANSHIRI,BUSINESS POINT,PLOT D,BLOCK C,LINE 4,MIRPUR 13",9.44,37.3,Plus,Bashundhara
1:14:00 PM,11/16/2024,335.35,353,2,0.0,0,80,0,17.65,60.35,0,"rabbani hotel and resturent 1/1 mirpur rd,begum rokeya sharani,section 6",NORTH SOUTH UNIVERSITY (NSU),9.2,37.5,Plus,
