Request time,Request Date,Trip Earnings,Fare,Safety Coverage Fee,Waiting Fee,Pickup Bonus,Discount,Surge,Pathao Net Commission,Pathao will Pay,You will Pay,Pickup Point,Destination Point,Distance,Duration,Trip Type,Unnamed: 0,Pickup Area
4:00:00 PM,11/12/2004,437,418.18,5,0.0,0,80,41.82,23,52,,"The Asgar Show, Sector 4,Uttara",Star Kabab & Restaurant,11.42,38,Prime,,
5:45:00 PM,11/12/2024,417.05,381.74,5,0.0,0,80,57.26,21.95,53.05,,"Koyla Restaurant Link.R0ad, Gulshan 1","Notun Bazar Bus Stop, Vatara Rd, Notun Bazar, Vatara",6.57,44.8,Prime,,
9:46:00 AM,11/16/2024,696.35,666.36,5,0.0,0,0,66.64,36.65,38.35,,"AREA71 VENTURE LIMITED HEADQUARTERS,SECTOR 10,UTTARA","KAKRAIL MAJID,KAKRAIL RD,KAKRAIL",19.98,52,Prime,2.0,Uttara
7:36:00 PM,11/12/2024,416.1,438,2,0.0,0,100,0,21.9,76.1,0,"Peyaia Cafe, Kemal Ataturk Avenue, Bannani","Road 6,Nikunja 2,Badda",8,52,Plus,,
8:45:00 PM,11/12/2024,306.85,332,2,20.0,0,0,0,16.15,18.15,0,"Khilkhet Nikunja 2 Masjid, Road 5,Nikunja",Airport Rail Station,6.17,21.1,Plus,,
9:46:00 PM,11/16/2024,696.35,666.36,5,0.0,0,80,66.36,36.65,0,38.35,"Area71 Venture Limited Headquarters, Sector 10, Uttara","Kakrail Masjid, Kakrail Rd, kakrail",19.98,52,Prime,,
12:28:00 PM,11/17/2024,375.25,376.19,5,0.0,0,70,18.81,19.75,0,45.25,"1017,Master Para Road, Senpara parbata, Borobagh","Mirpur Dohs  Central Masjid, Mirpur Dohs Main Rd, Mirpur Dohs",4.42,27.9,Prime,,
12:51:00 PM,11/16/2024,468.35,469.52,5,0.0,0,80,23.48,24.65,0,50.35,"Nafi Tower, 53, Gulsan Avenue, Gulsan 1, Gulsan","National Bank Public School And Collage, Rayer Bazar, Mohammadpur",10.31,47.1,Prime,,
2:02:00 PM,11/16/2024,312.55,329,2,0.0,0,99.3,0,16.45,0,80.85,"ZH Sikder Women,s Medical Collage, Sikder Medical Rd No.2, Sikder Estate, Hazaribag","Rashaed General Store, Buddhijibi Shahid Minar Rd, Gabtali",8.4,31.4,Plus,,
11:22:00 PM,11/17/2024,373.23,342.73,5,0.0,0,70,34.27,3.77,61.23,0,"Shezad Palace,Gulshan 2,Gulshan","Sheltech Apartments,450,Greenway Road, Wireless, Mogbazar",7.7,25.1,Prime,,
