pickup point,last part
"""the asgar show, sector 4,uttara""","""uttara"""
"""koyla restaurant link.r0ad, gulshan 1""","""gulshan 1"""
"""peyaia cafe, kemal ataturk avenue, bannani""","""bannani"""
"""khilkhet nikunja 2 masjid, road 5,nikunja""","""nikunja"""
"""1017,master para road, senpara parbata, borobagh""","""borobagh"""
"""nafi tower, 53, gulsan avenue, gulsan 1, gulsan""","""gulsan"""
"""zh sikder women,s medical collage, sikder medical rd no.2, sikder estate, hazaribag""","""hazaribag"""
"""shezad palace,gulshan 2,gulshan""","""gulshan"""
"""house 45,road 4,block c,banani,dhaka""","""dhaka"""
"""পেসক্রিপশন এইড,সেক্টর ১২,উত্তরা
""","""উত্তরা"""
"""habiba bhaban,h 510,rs 9,baridhara dohs""","""baridhara dohs"""
"""domestic terminal,new airport road,kurmitola,sector 2,""",""""""
"""express house, block h, banani""","""banani"""
"""rd 1,bkock g,mirpur 1""","""mirpur 1"""
"""dr nadia ferdous,residential area,dhanmondi""","""dhanmondi"""
"""vhai bon masion,81,kalsi road,section 11""","""section 11"""
"""dutch bangla bank atm,airport road,new airport road,kurmitola,sector`""","""sector`"""
"""11,18,section 10""","""section 10"""
"""basundhara masjid,r4 ,rd 3,block d,basundhara r/a""","""basundhara r/a"""
"""rabbani hotel and resturent 1/1 mirpur rd,begum rokeya sharani,section 6""","""section 6"""
"""popular place,shekhertek,mohammadpur""","""mohammadpur"""
"""airport road,new airport road,kurmitola,sector 2""","""sector 2"""
"""bakshibazar govt. primary school,hussaini dalan road,noorbagh,siddikbazar""","""siddikbazar"""
"""dakshin molla tag,bottola,dakshin molla tag,dakshinkhan""","""dakshinkhan"""
"""nandan dewan park,sector 4,uttora""","""uttora"""
"""450/1,west kafrul,mukti housing""","""mukti housing"""
"""h 695/6,rd 11,adabor""","""adabor"""
"""uttar para , khilkhet""","""khilkhet"""
"""gateway overseas education solution , road o3, block b, niketon""","""niketon"""
"""h  5, rd 20, nikunja 2""","""nikunja 2"""
"""75 naya paltan , mosjid goli""","""mosjid goli"""
"""52/3, road 2/1, section 12""","""section 12"""
"""herfy,block i,bashundhara r/a""","""bashundhara r/a"""
"""gulev jannat arifabad mahila madrasa, i/10 , arifabad housing road , extended pallabi , mirpur""","""mirpur"""
"""cafe hungry bites,satmasjid rd,jigatala""","""jigatala"""
"""h18,maind rd,south banashree project""","""south banashree project"""
"""dutch bangla bank limited,4,shyamoli road no 2,shyamoli complex,shyamoli""","""shyamoli"""
"""emon mahmud, house 1, road 7, block b, rajmoni tower ,nobodoy housing.""","""nobodoy housing."""
"""metlife alico (kader agency) uttara , dhaka , sector 7""","""sector 7"""
"""sumon tea store , shyamoli , muhammadpur""","""muhammadpur"""
"""mukta pharmacy,commerce college road,section 2""","""section 2"""
"""sheltech sierra,236,new elephant road""","""new elephant road"""
"""apurupa hair style,r k mission rd,gopibag""","""gopibag"""
"""komika nid mahal,423,south paikpara,garden view road,mukti housing,dakshin paikpara""","""dakshin paikpara"""
"""mutual trust bank""","""mutual trust bank"""
"""spicy chicken restaurent, jahurul islam ave, merul badda""","""merul badda"""
"""projonmo bus stop,jagannath university,atish deoankar road,moddho bashabo,shhjahanpur""","""shhjahanpur"""
"""bailey vista. h 6,siddhewari ln,siddheswari""","""siddheswari"""
"""amicus,house 8,mymensingh road,paribagh,shahbagh""","""shahbagh"""
"""al amin house, h 8,rd 1 ,block a,banashree""","""banashree"""
"""ratan kutir,h 146/1,new bailey rd""","""new bailey rd"""
"""kohinur general store,h 2/2,mirpur rd,lalmatia""","""lalmatia"""
"""mutual trust bank,airpor road,new airport road,kurmitola,sector 2.""","""sector 2."""
"""house 80,rd 12,sector 10""","""sector 10"""
"""shantinagar bus stop""","""shantinagar bus stop"""
"""tahmina manzil,209/1,195 shantibag road,shantibagh,malibagh""","""malibagh"""
"""dhaka medical hospital 2,zahir raihan sarani,dhaka medical college""","""dhaka medical college"""
"""ntrenz,mirpur,dohs rd,pallabi""","""pallabi"""
"""insaf barakah  kidney & general hospital , shahid tajuddin ahmed sarani , mogbazar""","""mogbazar"""
"""al hera jame masjid , pilkhana  rd , azimpur""","""azimpur"""
"""ratan kutir , h 146/1, new baily rd""","""new baily rd"""
"""misami bitopi , h 822/3 4 , begum rokeya sarani , west shewrapara""","""west shewrapara"""
"""uttor kafrul , poshchim kafrul""","""poshchim kafrul"""
"""ciam school,103,azimpur koborsthan road,nijhum residential area,hazaribagh""","""hazaribagh"""
"""hashi sushi,road 73,gulshan 2""","""gulshan 2"""
"""evercare hospital""","""evercare hospital"""
"""rajlakshmi bus stopage ,uttara, service road, kurmitola ,sector 3""","""sector 3"""
"""rd 7,eastern housing,pallabi 2nd phase""","""pallabi 2nd phase"""
"""domestic terminal 9dac0,hazrat shahjalal international airport""","""hazrat shahjalal international airport"""
"""voiya bari, 35/1/d/1, shakhari ngar lane , keraniganj subdisrrict""","""keraniganj subdisrrict"""
"""hashi sushi , road 73, gulshan 2.""","""gulshan 2."""
"""chayaneer housing society,dhaka bangladesh""","""dhaka bangladesh"""
"""unitrend limited,banani dohs""","""banani dohs"""
"""tk bhaban ,kawran bazar masjid rd, kawran bazar""","""kawran bazar"""
"""shawarma house dit,merul badda,badda""","""badda"""
"""desco,vatara rd,natun bazar""","""natun bazar"""
"""shouva,ka 22/b,shahid fazlul haque rd,nadda""","""nadda"""
"""ibn sina medical college and hospital,kallyanpur""","""kallyanpur"""
"""ahn tower,bir uttam cr datta rd,hatirpool""","""hatirpool"""
"""pwd jame masjid,rajarbag""","""rajarbag"""
"""golap villa 1,37,road 10a,dhanmondi r/a""","""dhanmondi r/a"""
"""high park residence , h 99, viqarunnisa rd , shiddeswari""","""shiddeswari"""
"""j and j enterprise,house 144,khilbarirtek main road,vatara,dhaka 1212""","""dhaka 1212"""
"""ck maritime ltd , plot 836 , road 12 , avenew 3 , mirpur dohs""","""mirpur dohs"""
"""52/2, salim uddin market road, senpara parbata, ahmed nagar""","""ahmed nagar"""
"""city bank atm, bir uttam mir shawkat sarak, tejgaon""","""tejgaon"""
"""ogsb hospital , block c, mirpur 13""","""mirpur 13"""
"""sattar vaban , h 32/3, rd 10 , janata housing ,mphammadpur""","""mphammadpur"""
"""shahjadpur east south para rd , north badda""","""north badda"""
"""united seed dhaka , dhaka aricha highway , 1347""","""1347"""
"""aftab nogor main road. block c . 32 number building .5th floor of lift .""","""aftab nogor main road. block c . 32 number building .5th floor of lift ."""
"""janata sorok""","""janata sorok"""
"""i care computer system , house 41/2/e/3 , hari charan ray road , faridabad , gendaria , dhaka 1204""","""dhaka 1204"""
"""bank alfalah limited mirpur, house 1, kalsi road, block d, section 11, mirpur, dhaka 1216""","""dhaka 1216"""
"""medicare drug house , 433/a, south paikpara ,road 14 , block d , mukti housing , dokkhin paikpara""","""dokkhin paikpara"""
"""h d 6, outer circular rd , agb colony , motijheel""","""motijheel"""
"""banladesh film developement corporation (fdc),kawran bazar fdc road,wireless,nekatan""","""nekatan"""
